Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 25, 2024",399.9,400.77,393.4,394.09,394.09,"1,168,100"
"Oct 24, 2024",396.51,398.38,394.3,395.7,395.7,"1,113,200"
"Oct 23, 2024",395.34,401.39,391.5,394.04,394.04,"1,170,100"
"Oct 22, 2024",398.01,402.29,393.12,396.56,396.56,"2,365,000"
"Oct 21, 2024",403.24,408.27,401.52,406.01,406.01,"1,572,400"
"Oct 18, 2024",408.36,408.36,399.57,402,402,"1,539,400"
"Oct 17, 2024",412,416,407.32,407.39,407.39,"1,318,700"
"Oct 16, 2024",395.18,406.35,394.82,406.08,406.08,"1,714,800"
"Oct 15, 2024",414,414.6,382.31,392.31,392.31,"4,026,900"
"Oct 14, 2024",419.17,422.73,413.34,413.47,413.47,"1,247,900"
"Oct 11, 2024",410.4,417.71,409.95,416.93,416.93,"1,684,300"
"Oct 10, 2024",403.56,410.71,402.59,409.76,409.76,"1,418,700"
"Oct 09, 2024",398.7,409.2,396.12,406.93,406.93,"1,915,700"
"Oct 08, 2024",398.26,402,394.5,400.22,400.22,"1,561,900"
"Oct 07, 2024",394,399.48,390.23,392.54,392.54,"1,216,300"
"Oct 04, 2024",396,396.8,388.33,395.97,395.97,"1,063,400"
"Oct 03, 2024",388.75,395.82,387.59,390.11,390.11,"1,132,200"
"Oct 02, 2024",381.45,390.42,379.32,389.62,389.62,"1,101,400"
"Oct 01, 2024",388.37,390.83,378.46,381.85,381.85,"1,053,300"
"Sep 30, 2024",378.02,384.38,376.5,383.82,383.82,"1,115,200"
"Sep 27, 2024",385.49,386.24,376.35,380.26,380.26,"1,904,000"
"Sep 26, 2024",393.7,395.82,382.14,386.3,386.3,"1,312,200"
"Sep 25, 2024",384.73,389.81,383.97,388.21,388.21,"1,141,100"
"Sep 24, 2024",388.29,388.29,379.4,385.07,385.07,"1,502,700"
"Sep 23, 2024",387.81,390,382.58,385.57,385.57,"1,306,700"
"Sep 20, 2024",377.48,385.5,377.07,384.46,384.46,"2,734,500"
"Sep 19, 2024",372.78,380.54,371.42,379.32,379.32,"1,957,100"
"Sep 18, 2024",362.06,368.16,357.45,361.71,361.71,"1,036,700"
"Sep 17, 2024",365,368.14,360.5,360.95,360.95,"1,051,400"
"Sep 16, 2024",355.13,360.12,351.47,359.16,359.16,"858,200"
"Sep 13, 2024",359.95,364.03,357.05,359.76,359.76,"1,477,400"
"Sep 12, 2024",342.8,357.76,339.75,355.36,355.36,"1,764,600"
"Sep 11, 2024",327.49,344.02,324.18,342.93,342.93,"2,444,500"
"Sep 10, 2024",325,329.17,322.27,326.75,326.75,"1,149,600"
"Sep 09, 2024",319.92,325.78,318.98,324.77,324.77,"1,289,200"
"Sep 06, 2024",323.05,328.11,313.02,314.31,314.31,"2,188,300"
"Sep 05, 2024",321.32,330.15,320.1,328.44,328.44,"1,613,300"
"Sep 04, 2024",324,330.49,321.59,326.05,326.05,"1,365,000"
"Sep 03, 2024",351.09,353,324.6,326.72,326.72,"2,531,900"
"Aug 30, 2024",351,353.67,345,353.38,353.38,"1,548,800"
"Aug 29, 2024",340.62,353.87,340.36,346.59,346.59,"1,724,900"
"Aug 28, 2024",345.42,348,336.68,341.16,341.16,"1,103,500"
"Aug 27, 2024",341.35,348.08,337.8,345.62,345.62,"1,173,500"
"Aug 26, 2024",357.3,358,342.21,344.69,344.69,"1,379,300"
"Aug 23, 2024",355,358.24,350.29,355.13,355.13,"975,900"
"Aug 22, 2024",355.99,358.4,351.47,352.17,352.17,"1,110,200"
"Aug 21, 2024",351.63,357.05,351.07,355.89,355.89,"1,195,100"
"Aug 20, 2024",353.6,358,352.11,353.79,353.79,"1,083,800"
"Aug 19, 2024",352,353.17,342.76,352.06,352.06,"1,394,000"
"Aug 16, 2024",354.85,357,352.2,353.89,353.89,"1,262,600"
"Aug 15, 2024",355,358.68,353.35,356.6,356.6,"1,290,900"
"Aug 14, 2024",348.6,353.89,345.21,348.65,348.65,"1,683,100"
"Aug 13, 2024",339.42,346.64,339.42,346.19,346.19,"1,398,200"
"Aug 12, 2024",337,343.12,335.38,338.33,338.33,"917,600"
"Aug 09, 2024",332,340.49,332,335.81,335.81,"1,594,800"
"Aug 08, 2024",324.39,334.7,319.96,334.5,334.5,"1,424,700"
"Aug 07, 2024",331.37,336.07,315.71,317.33,317.33,"2,029,500"
"Aug 06, 2024",320.15,329.19,313.07,323.54,323.54,"1,649,900"
"Aug 05, 2024",300,317.66,291.95,314.93,314.93,"2,642,300"
"Aug 02, 2024",320,325,311.4,319.34,319.34,"2,699,900"
"Aug 01, 2024",350.5,364.15,332.14,338.64,338.64,"4,261,100"
