Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 25, 2024",25.13,27.39,24.64,25.62,25.62,"14,701,900"
"Oct 24, 2024",27.54,30.55,24.91,25.07,25.07,"23,926,300"
"Oct 23, 2024",27.5,27.73,25.5,26.26,26.26,"7,575,600"
"Oct 22, 2024",27.29,29.61,26.95,27.89,27.89,"10,984,900"
"Oct 21, 2024",28.52,28.91,26.08,27.64,27.64,"9,805,300"
"Oct 18, 2024",28.79,29.34,27.07,28.14,28.14,"7,996,300"
"Oct 17, 2024",27.84,28.98,26.74,28.49,28.49,"11,169,500"
"Oct 16, 2024",24.76,28.36,24.45,28.22,28.22,"14,435,000"
"Oct 15, 2024",24.44,24.98,23.81,24.25,24.25,"7,848,300"
"Oct 14, 2024",24.24,25.69,23.75,25.12,25.12,"11,297,100"
"Oct 11, 2024",23.07,24.34,22.92,24.18,24.18,"7,292,900"
"Oct 10, 2024",22.35,23.25,21.9,23.07,23.07,"7,198,900"
"Oct 09, 2024",24.17,24.29,22.35,22.61,22.61,"9,425,500"
"Oct 08, 2024",24.54,25.29,24.01,24.2,24.2,"6,489,900"
"Oct 07, 2024",25.94,26.32,24.74,24.91,24.91,"9,119,700"
"Oct 04, 2024",23.81,26.39,23.67,26.11,26.11,"12,388,100"
"Oct 03, 2024",23.67,24.5,22.93,23.22,23.22,"9,619,700"
"Oct 02, 2024",23.98,24.29,23.01,23.84,23.84,"8,763,000"
"Oct 01, 2024",25.9,25.95,23.42,24.1,24.1,"12,264,200"
"Sep 30, 2024",25.5,27.25,24.97,26.15,26.15,"15,948,000"
"Sep 27, 2024",23.15,25.56,21.68,25.32,25.32,"24,274,100"
"Sep 26, 2024",24.63,25.35,23.82,23.83,23.83,"9,862,100"
"Sep 25, 2024",25.8,25.92,24.36,24.39,24.39,"10,986,100"
"Sep 24, 2024",26.44,26.9,25.27,25.85,25.85,"8,430,000"
"Sep 23, 2024",26.62,27.1,25.91,26.61,26.61,"7,277,600"
"Sep 20, 2024",28.45,28.84,25.67,26.5,26.5,"18,870,200"
"Sep 19, 2024",29.15,30.51,28.03,28.61,28.61,"14,703,300"
"Sep 18, 2024",28.34,29.65,27.46,28.3,28.3,"10,937,500"
"Sep 17, 2024",30.37,30.6,27.6,28,28,"13,548,400"
"Sep 16, 2024",28.97,29.98,27.4,29.84,29.84,"13,323,900"
"Sep 13, 2024",26.79,30.93,26.5,29.83,29.83,"25,794,500"
"Sep 12, 2024",26.7,27.05,23.54,26.79,26.79,"25,223,800"
"Sep 11, 2024",26.89,28.39,26,27.9,27.9,"16,135,000"
"Sep 10, 2024",26.24,26.69,24.37,26.11,26.11,"15,132,500"
"Sep 09, 2024",26.63,28.25,25.61,25.94,25.94,"13,431,400"
"Sep 06, 2024",28.71,29.58,25.8,26.11,26.11,"17,645,500"
"Sep 05, 2024",29.28,30.43,26.4,28.45,28.45,"41,445,700"
"Sep 04, 2024",31.99,36.54,28.9,33.08,33.08,"43,765,000"
"Sep 03, 2024",29.3,29.85,28.03,29.41,29.41,"9,855,500"
"Aug 30, 2024",28.97,31.6,27.93,29.04,29.04,"16,165,900"
"Aug 29, 2024",27.9,30.44,27.71,29.25,29.25,"15,876,500"
"Aug 28, 2024",29.91,30.6,27.57,27.87,27.87,"20,565,800"
"Aug 27, 2024",33.01,34.87,30.43,31.11,31.11,"14,778,800"
"Aug 26, 2024",33.49,34.31,30.74,33.78,33.78,"17,618,600"
"Aug 23, 2024",34.59,37.16,32.08,32.86,32.86,"25,736,700"
"Aug 22, 2024",36.7,36.7,33.51,34.14,34.14,"20,021,700"
"Aug 21, 2024",34.13,39.08,32.42,36.44,36.44,"36,381,900"
"Aug 20, 2024",38.79,38.99,31.91,34.32,34.32,"32,419,000"
"Aug 19, 2024",31.35,38.85,30.83,38.6,38.6,"37,779,900"
"Aug 16, 2024",30.37,36.87,27.71,31.03,31.03,"68,766,300"
"Aug 15, 2024",21.8,33.58,21.58,31.36,31.36,"75,966,100"
"Aug 14, 2024",21.11,21.73,19.77,20.81,20.81,"10,504,900"
"Aug 13, 2024",19.95,21.15,19.36,20.96,20.96,"7,373,000"
"Aug 12, 2024",20.96,22.08,19.51,19.73,19.73,"11,265,500"
"Aug 09, 2024",22.83,23.04,20.5,21.21,21.21,"14,796,200"
"Aug 08, 2024",19.88,22.36,19.59,22.32,22.32,"13,369,100"
"Aug 07, 2024",19.7,21.9,19.35,19.64,19.64,"14,939,100"
"Aug 06, 2024",19.3,19.96,18.08,19.53,19.53,"10,259,700"
"Aug 05, 2024",17.95,20.1,17.11,18.59,18.59,"15,062,700"
"Aug 02, 2024",19.76,20.21,18.23,18.51,18.51,"10,146,500"
"Aug 01, 2024",20.37,21.21,19.25,20.44,20.44,"14,930,000"
"Jul 31, 2024",17.89,21.28,17.4,20.68,20.68,"16,767,300"
"Jul 30, 2024",18.99,20.37,16.98,17.52,17.52,"12,631,400"
"Jul 29, 2024",18.8,19.59,17.89,18.87,18.87,"13,037,200"
"Jul 26, 2024",16.97,19.48,16.89,18.84,18.84,"24,661,200"
"Jul 25, 2024",13.65,16.8,13.6,16.64,16.64,"23,048,900"
"Jul 24, 2024",13.55,14.06,13.26,13.36,13.36,"5,420,900"
"Jul 23, 2024",12.79,14.29,12.75,13.84,13.84,"8,703,900"
"Jul 22, 2024",13.12,13.13,12.37,12.8,12.8,"4,177,000"
"Jul 19, 2024",12.44,13.48,12.24,12.84,12.84,"5,369,600"
"Jul 18, 2024",13.62,13.66,12.32,12.38,12.38,"6,762,400"
"Jul 17, 2024",13.5,14.03,12.88,13.4,13.4,"4,832,600"
