Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 25, 2024",458.6,459.45,453.03,454.01,454.01,"2,838,900"
"Oct 24, 2024",460.9,461.05,453.96,457.77,457.77,"3,793,500"
"Oct 23, 2024",460.15,463.26,458.75,460.61,460.61,"3,655,200"
"Oct 22, 2024",464.11,465.15,457.6,461.45,461.45,"3,315,200"
"Oct 21, 2024",464.53,465.79,461.68,464.16,464.16,"3,131,500"
"Oct 18, 2024",467,467,463.25,464.8,464.8,"5,635,500"
"Oct 17, 2024",466.1,467.84,464.27,465.85,465.85,"2,520,900"
"Oct 16, 2024",463.25,466,462.2,465.69,465.69,"3,166,300"
"Oct 15, 2024",460.99,466.66,460.51,462.68,462.68,"3,929,900"
"Oct 14, 2024",461.92,462,458.1,459.98,459.98,"2,969,800"
"Oct 11, 2024",455.9,463.45,455.9,460.21,460.21,"3,242,000"
"Oct 10, 2024",457.5,457.51,452.72,454.93,454.93,"2,375,800"
"Oct 09, 2024",452.75,457.88,452.36,455.9,455.9,"2,206,100"
"Oct 08, 2024",455.96,457.56,452.85,453.8,453.8,"2,234,100"
"Oct 07, 2024",462.34,462.34,452.41,453.5,453.5,"3,222,100"
"Oct 04, 2024",455.01,462.18,453.81,461.97,461.97,"3,090,200"
"Oct 03, 2024",455.47,455.97,450.92,452.96,452.96,"2,564,700"
"Oct 02, 2024",458.7,458.7,454.19,456.67,456.67,"2,803,400"
"Oct 01, 2024",459.11,459.79,454.82,457.41,457.41,"3,043,700"
"Sep 30, 2024",458.4,460.63,454.55,460.26,460.26,"3,631,100"
"Sep 27, 2024",456.04,458.27,455.04,457.47,457.47,"2,728,000"
"Sep 26, 2024",452.74,457,451.34,454.18,454.18,"3,262,000"
"Sep 25, 2024",454.9,455.81,451.21,452.36,452.36,"2,843,300"
"Sep 24, 2024",454.33,455.6,451.77,454.56,454.56,"3,009,900"
"Sep 23, 2024",457.31,459.65,453.42,454.98,454.98,"3,485,100"
"Sep 20, 2024",457.76,457.95,454.05,455.31,455.31,"8,468,800"
"Sep 19, 2024",462,462.19,457.25,459.71,459.71,"3,891,300"
"Sep 18, 2024",458.08,459.84,454.88,456.6,456.6,"3,065,200"
"Sep 17, 2024",453.5,461.1,453.29,456.68,456.68,"3,824,300"
"Sep 16, 2024",448.8,452.99,448.34,451.78,451.78,"3,264,400"
"Sep 13, 2024",451.58,452.43,447.21,447.61,447.61,"3,882,600"
"Sep 12, 2024",454.84,455,449.27,450.87,450.87,"3,855,700"
"Sep 11, 2024",457.62,457.62,445.25,453.1,453.1,"5,772,700"
"Sep 10, 2024",461.82,464.32,456.21,458.92,458.92,"3,544,100"
"Sep 09, 2024",463.97,466,459.26,459.61,459.61,"4,571,000"
"Sep 06, 2024",463.82,468.17,458.55,459.42,459.42,"4,400,300"
"Sep 05, 2024",479.43,479.43,462.88,464.92,464.92,"6,213,200"
"Sep 04, 2024",478.68,484.82,474.22,478.57,478.57,"5,309,400"
"Sep 03, 2024",475,482.89,473.72,476.83,476.83,"7,511,900"
"Aug 30, 2024",470.52,476.95,470,475.92,475.92,"7,465,800"
"Aug 29, 2024",467.11,469.85,463,468.37,468.37,"4,459,400"
"Aug 28, 2024",461.17,466.6,460.78,464.59,464.59,"4,838,100"
"Aug 27, 2024",455.94,462.1,454.62,460.63,460.63,"3,764,700"
"Aug 26, 2024",455.31,459.27,453.34,454.49,454.49,"3,575,800"
"Aug 23, 2024",450,453.72,448.81,453.38,453.38,"2,805,400"
"Aug 22, 2024",446.3,449.6,444.65,449.03,449.03,"3,502,800"
"Aug 21, 2024",449.84,451.28,443.84,446.6,446.6,"3,028,500"
"Aug 20, 2024",449.3,450.5,446.38,448.36,448.36,"2,906,500"
"Aug 19, 2024",446.01,450.45,445.73,448.77,448.77,"3,385,300"
"Aug 16, 2024",441.55,445.2,440.45,444.51,444.51,"3,345,000"
"Aug 15, 2024",441.8,442.59,438.72,440.84,440.84,"3,226,400"
"Aug 14, 2024",433,438.98,431.71,438.47,438.47,"2,860,200"
"Aug 13, 2024",431.83,432.81,425.9,432.41,432.41,"3,472,000"
"Aug 12, 2024",434.16,434.16,429.01,430.39,430.39,"2,376,000"
"Aug 09, 2024",431.92,434.75,430.21,431.67,431.67,"2,602,600"
"Aug 08, 2024",429.24,432.26,427.6,431.54,431.54,"3,150,000"
"Aug 07, 2024",426.07,433.17,425.6,427.02,427.02,"4,745,600"
"Aug 06, 2024",416.41,427.46,415.1,422.14,422.14,"5,138,700"
"Aug 05, 2024",413.43,417.82,406.11,413.72,413.72,"7,695,100"
"Aug 02, 2024",429.77,436.25,423.49,428.36,428.36,"4,251,500"
"Aug 01, 2024",439.67,440.61,430.95,431.81,431.81,"3,892,300"
"Jul 31, 2024",439.85,440.85,437.74,438.5,438.5,"3,798,800"
"Jul 30, 2024",439.51,443.89,439.14,441.26,441.26,"3,736,400"
"Jul 29, 2024",438.01,439.44,435.49,438.31,438.31,"2,620,000"
"Jul 26, 2024",435.66,439,434.1,437.66,437.66,"2,717,600"
"Jul 25, 2024",431.6,439.63,431.6,433.29,433.29,"3,334,300"
"Jul 24, 2024",433.99,435.41,430.73,432.8,432.8,"3,143,700"
"Jul 23, 2024",437.34,437.92,433.47,434.01,434.01,"2,393,000"
"Jul 22, 2024",435.05,438.11,432.12,435.98,435.98,"2,995,700"
"Jul 19, 2024",442.67,442.8,433.35,434.47,434.47,"4,158,800"
"Jul 18, 2024",445.62,449.25,439.57,441.82,441.82,"4,638,300"
"Jul 17, 2024",437.85,446.15,437.84,445.61,445.61,"4,776,600"
"Jul 16, 2024",437.4,439.05,434.02,438.9,438.9,"4,293,700"
