Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 25, 2024",59.84,59.86,59.23,59.44,59.44,"6,074,200"
"Oct 24, 2024",59.27,59.63,58.97,59.44,59.44,"7,048,500"
"Oct 23, 2024",59.56,59.58,58.42,59.02,59.02,"9,523,800"
"Oct 22, 2024",59.69,60.1,59.25,59.88,59.88,"7,377,500"
"Oct 21, 2024",59.74,59.85,59.21,59.7,59.7,"6,425,000"
"Oct 18, 2024",59.3,59.5,58.75,59.39,59.39,"5,863,700"
"Oct 17, 2024",59.24,59.39,58.52,58.86,58.86,"6,326,100"
"Oct 16, 2024",59.91,60.08,58.85,59.12,59.12,"5,865,700"
"Oct 15, 2024",59.69,60.09,58.91,59.81,59.81,"8,134,900"
"Oct 14, 2024",59.28,59.6,58.69,59.28,59.28,"5,988,200"
"Oct 11, 2024",58.5,59.48,58.49,58.65,58.65,"7,292,800"
"Oct 10, 2024",57.81,58.36,57.02,58.33,58.33,"5,154,900"
"Oct 09, 2024",58.09,58.4,57.54,57.93,57.93,"8,542,900"
"Oct 08, 2024",57.26,58.35,57.15,57.98,57.98,"9,101,000"
"Oct 07, 2024",57.14,57.47,56.43,56.73,56.73,"7,551,200"
"Oct 04, 2024",57,57.25,56.44,57.11,57.11,"6,051,500"
"Oct 03, 2024",57.5,57.56,56.23,56.7,56.7,"7,004,100"
"Oct 02, 2024",56.75,57.81,55.94,57.68,57.68,"7,418,600"
"Oct 01, 2024",57.76,57.87,56.74,57.17,57.17,"8,718,200"
"Sep 30, 2024",57.24,58.11,57.1,57.62,57.62,"10,328,100"
"Sep 27, 2024",57.99,58.13,56.89,57.34,57.34,"9,078,300"
"Sep 26, 2024",58.85,59,57.76,58.05,58.05,"10,296,500"
"Sep 25, 2024",58,58.45,57.63,58.38,58.38,"8,421,700"
"Sep 24, 2024",58.29,58.34,57.52,57.96,57.96,"8,920,700"
"Sep 23, 2024",57.45,58.5,57.28,58.29,58.29,"9,306,000"
"Sep 20, 2024",57.68,58.18,56.99,57.23,57.23,"14,686,600"
"Sep 19, 2024",58.25,58.43,57.41,57.97,57.97,"9,541,700"
"Sep 18, 2024",58.54,58.54,56.81,56.93,56.93,"10,214,200"
"Sep 17, 2024",58.05,58.77,57.49,58.5,58.5,"10,580,500"
"Sep 16, 2024",56.59,57.75,56.4,57.66,57.66,"10,663,600"
"Sep 13, 2024",56.45,56.57,55.69,56.12,56.12,"7,916,300"
"Sep 12, 2024",55.93,56.48,55.55,56.35,56.35,"9,074,500"
"Sep 11, 2024",54.27,55.87,53.96,55.79,55.79,"12,804,800"
"Sep 10, 2024",54.43,54.9,53.68,54.21,54.21,"8,367,400"
"Sep 09, 2024",54.04,54.83,54,54.29,54.29,"9,472,500"
"Sep 06, 2024",53.19,54.52,53.08,53.68,53.68,"13,248,700"
"Sep 05, 2024",53.02,53.78,52.92,53.03,53.03,"8,317,000"
"Sep 04, 2024",52.65,53.47,52.65,53.34,53.34,"12,220,100"
"Sep 03, 2024",55.99,56.58,53.18,53.52,53.52,"14,402,300"
"Aug 30, 2024",55.95,56.23,55.18,56.08,56.08,"12,845,600"
"Aug 29, 2024",56.21,56.49,55.54,55.63,55.63,"10,702,300"
"Aug 28, 2024",56.57,56.98,55.23,55.77,55.77,"13,745,800"
"Aug 27, 2024",54.19,56.3,54.19,56.14,56.14,"14,889,600"
"Aug 26, 2024",53.82,55.05,53.78,54.75,54.75,"12,213,500"
"Aug 23, 2024",53.81,53.95,53.1,53.71,53.71,"9,928,400"
"Aug 22, 2024",53.54,54.26,53.21,53.45,53.45,"10,425,700"
"Aug 21, 2024",52.25,53.98,52.08,53.73,53.73,"14,558,400"
"Aug 20, 2024",52.65,52.92,51.8,51.94,51.94,"12,896,000"
"Aug 19, 2024",52.58,52.95,51.83,52.64,52.64,"16,562,100"
"Aug 16, 2024",53.59,53.7,52.05,52.47,52.47,"21,302,900"
"Aug 15, 2024",51.79,54.32,51.58,53.97,53.97,"28,826,700"
"Aug 14, 2024",52.02,52.53,51.08,51.65,51.65,"32,423,000"
"Aug 13, 2024",50.79,52.11,48,51.68,51.68,"108,992,800"
"Aug 12, 2024",55.6,56.34,55.08,55.87,55.87,"10,075,100"
"Aug 09, 2024",54.9,56.14,54.53,55.55,55.55,"11,569,700"
"Aug 08, 2024",54,54.89,53.74,54.32,54.32,"9,305,800"
"Aug 07, 2024",54.5,55.3,53.41,53.63,53.63,"11,238,800"
"Aug 06, 2024",52.93,55.11,52.66,54.08,54.08,"16,405,700"
"Aug 05, 2024",48.25,52.74,47.98,52.18,52.18,"14,448,600"
"Aug 02, 2024",52.33,52.85,51.15,52.57,52.57,"15,098,100"
"Aug 01, 2024",54.29,55.07,52.83,53.46,53.46,"14,099,600"
"Jul 31, 2024",53.5,54.51,52.8,54.32,54.32,"23,028,900"
"Jul 30, 2024",51.18,52.76,51.1,52.57,52.57,"23,648,500"
"Jul 29, 2024",49.91,51.29,49.59,50.97,50.97,"16,035,300"
"Jul 26, 2024",51.24,51.59,49.41,49.83,49.83,"24,611,100"
"Jul 25, 2024",50.51,51.6,49.53,50.82,50.82,"40,764,300"
"Jul 24, 2024",52.04,52.49,51.46,51.78,51.78,"39,208,200"
"Jul 23, 2024",53.89,54.72,52.34,52.55,52.55,"17,558,000"
"Jul 22, 2024",53.48,54.03,52.98,53.56,53.56,"13,869,100"
"Jul 19, 2024",53.92,54,52.95,53.54,53.54,"15,629,900"
"Jul 18, 2024",53.48,54.55,52.63,53.38,53.38,"29,138,100"
"Jul 17, 2024",56.92,57.39,55.1,55.29,55.29,"17,208,200"
"Jul 16, 2024",56.76,57.92,56.23,57.74,57.74,"14,404,300"
"Jul 15, 2024",57.75,57.8,56.48,56.61,56.61,"15,192,400"
"Jul 12, 2024",57.76,58.67,57.43,57.67,57.67,"14,046,500"
"Jul 11, 2024",58,58.5,57.37,57.55,57.55,"13,326,300"
"Jul 10, 2024",57.43,58.63,56.82,58.3,58.3,"20,298,400"
"Jul 09, 2024",59.63,60.16,57.35,57.48,57.48,"25,093,400"
"Jul 08, 2024",62.46,62.66,59.04,59.51,59.51,"24,496,600"
"Jul 05, 2024",61.56,62.96,61.2,62.75,62.75,"12,845,000"
"Jul 03, 2024",61.05,62.81,60.84,61.58,61.58,"12,651,800"
"Jul 02, 2024",61.54,62.32,60.46,61.4,61.4,"18,369,200"
"Jul 01, 2024",62.69,62.76,60.25,61.81,61.81,"19,650,600"
"Jun 28, 2024",62.03,63.77,61.57,62.65,62.65,"22,128,100"
"Jun 27, 2024",65.88,65.89,61.84,62.41,62.41,"28,454,200"
"Jun 26, 2024",65.81,66.31,62.75,65.86,65.86,"27,266,300"
"Jun 26, 2024",50:1 Stock Split,,,,,
"Jun 25, 2024",64.33,65.8,64.28,65.66,65.66,"24,055,000"
"Jun 24, 2024",64.29,64.46,63.28,63.87,63.87,"20,645,000"
"Jun 21, 2024",64.5,64.67,63.86,64.21,64.21,"29,525,000"
"Jun 20, 2024",68.91,68.91,63.76,64.29,64.29,"42,465,000"
"Jun 18, 2024",68.7,69.26,67.4,68.55,68.55,"34,735,000"
"Jun 17, 2024",66.53,67.68,65.9,67.31,67.31,"21,200,000"
"Jun 14, 2024",65.4,65.51,64.75,65.43,65.43,"13,975,000"
"Jun 13, 2024",63.77,65.87,63.77,65.31,65.31,"24,240,000"
"Jun 12, 2024",62.75,63.85,62.48,63.42,63.42,"17,000,000"
"Jun 11, 2024",62.33,62.67,61.64,62.6,62.6,"9,725,000"
"Jun 10, 2024",63.38,63.53,62.42,62.6,62.6,"10,355,000"
"Jun 07, 2024",64.53,64.8,63.27,63.38,63.38,"14,230,000"
"Jun 06, 2024",63.45,64.42,63.06,64.23,64.23,"12,780,000"
"Jun 05, 2024",61.88,63.22,61.64,62.96,62.96,"11,740,000"
"Jun 04, 2024",62.26,62.26,61.27,61.58,61.58,"20,615,000"
"Jun 03, 2024",62.78,63.04,60.59,61.53,61.53,"16,625,000"
"May 31, 2024",62.52,62.59,61.19,62.59,62.59,"15,065,000"
"May 30, 2024",61.61,62.16,61.11,62.12,62.12,"10,735,000"
"May 29, 2024",62.81,62.81,61.4,61.46,61.46,"16,870,000"
"May 28, 2024",63.2,63.23,62.6,63.08,63.08,"11,870,000"
"May 24, 2024",63,63.3,62.86,63.03,63.03,"9,835,000"
"May 23, 2024",63.2,63.31,62.61,62.77,62.77,"10,610,000"
"May 22, 2024",63.52,63.64,62.82,63.07,63.07,"9,060,000"
"May 21, 2024",63.8,63.84,63.35,63.46,63.46,"10,095,000"
"May 20, 2024",64.4,64.85,63.48,63.53,63.53,"14,200,000"
"May 17, 2024",62.9,64.35,62.9,64.27,64.27,"14,390,000"
"May 16, 2024",63.47,63.62,62.77,62.92,62.92,"9,935,000"
"May 15, 2024",63.41,63.81,63.22,63.37,63.37,"9,965,000"
"May 14, 2024",63.66,63.96,63.43,63.53,63.53,"7,750,000"
"May 13, 2024",64.78,64.78,63.75,63.91,63.91,"8,420,000"
"May 10, 2024",64.88,65.2,64.38,64.78,64.78,"8,235,000"
"May 09, 2024",63.66,64.66,63.38,64.66,64.66,"12,270,000"
"May 08, 2024",64.08,64.32,63.62,63.67,63.67,"10,300,000"
"May 07, 2024",64.11,64.24,63.5,63.87,63.87,"11,085,000"
"May 06, 2024",63.19,64.04,63.19,63.98,63.98,"9,970,000"
"May 03, 2024",63.19,63.53,62.98,63.11,63.11,"13,470,000"
"May 02, 2024",63.09,63.36,62.37,62.84,62.84,"8,950,000"
"May 01, 2024",63.06,63.15,62.4,62.77,62.77,"11,815,000"
"Apr 30, 2024",63.99,64.28,63.04,63.19,63.19,"17,185,000"
"Apr 29, 2024",64.33,64.83,63.42,64.19,64.19,"12,270,000"
"Apr 26, 2024",62.41,64,62.41,63.74,63.74,"16,830,000"
"Apr 25, 2024",60.24,62.91,59.04,62.24,62.24,"34,425,000"
"Apr 24, 2024",58.76,59.2,58.33,58.54,58.54,"18,165,000"
"Apr 23, 2024",58.44,58.6,57.84,58.3,58.3,"10,505,000"
"Apr 22, 2024",57.96,58.24,57.34,57.69,57.69,"12,975,000"
"Apr 19, 2024",58.28,58.28,56.92,57.38,57.38,"22,100,000"
"Apr 18, 2024",58.09,58.82,57.95,58.16,58.16,"10,690,000"
"Apr 17, 2024",59.1,59.1,57.87,58.06,58.06,"8,860,000"
"Apr 16, 2024",58.66,58.94,58.41,58.85,58.85,"8,030,000"
"Apr 15, 2024",59.56,59.66,58.62,58.73,58.73,"9,935,000"
"Apr 12, 2024",59.83,59.86,58.83,59.15,59.15,"12,785,000"
"Apr 11, 2024",59.62,60.02,59.32,59.81,59.81,"13,570,000"
"Apr 10, 2024",58.26,59.45,58.02,59.31,59.31,"14,205,000"
"Apr 09, 2024",59.18,59.3,57.58,58.54,58.54,"11,130,000"
"Apr 08, 2024",58.08,58.75,58.08,58.63,58.63,"10,930,000"
"Apr 05, 2024",57.57,58.11,57.48,58.11,58.11,"10,210,000"
"Apr 04, 2024",58.19,58.4,57.07,57.12,57.12,"11,620,000"
"Apr 03, 2024",57.9,58.14,57.46,57.91,57.91,"10,835,000"
"Apr 02, 2024",57.48,58.1,57,58.04,58.04,"11,255,000"
"Apr 01, 2024",58.38,58.4,57.27,57.54,57.54,"11,935,000"
"Mar 28, 2024",58.9,58.9,58.06,58.14,58.14,"14,625,000"
"Mar 27, 2024",59.52,59.88,58.06,58.47,58.47,"14,105,000"
"Mar 26, 2024",58.47,59.59,58.3,59.11,59.11,"16,630,000"
"Mar 25, 2024",57.78,58.28,57.43,58.07,58.07,"14,125,000"
"Mar 22, 2024",58.44,58.44,57.64,57.64,57.64,"11,200,000"
"Mar 21, 2024",59.06,59.06,57.84,58.1,58.1,"15,955,000"
"Mar 20, 2024",58.71,60.48,57.61,57.9,57.9,"50,170,000"
"Mar 19, 2024",55.6,55.97,55.07,55.95,55.95,"8,675,000"
"Mar 18, 2024",55.36,56.28,55.28,55.47,55.47,"9,475,000"
"Mar 15, 2024",54.55,55.17,54.36,55.13,55.13,"11,830,000"
"Mar 14, 2024",55.33,55.51,54.5,54.97,54.97,"10,555,000"
"Mar 13, 2024",54.41,54.76,54.04,54.45,54.45,"9,485,000"
"Mar 12, 2024",53.55,54.55,53.4,54.4,54.4,"10,025,000"
"Mar 11, 2024",53.4,53.66,52.3,53.25,53.25,"9,950,000"
"Mar 08, 2024",53.63,54.09,53.51,53.72,53.72,"5,955,000"
"Mar 07, 2024",54.2,54.25,53.56,53.8,53.8,"6,210,000"
"Mar 06, 2024",54.49,54.51,53.43,53.8,53.8,"7,850,000"
"Mar 05, 2024",54.26,54.67,53.88,54.23,54.23,"9,340,000"
"Mar 04, 2024",53.78,54.64,53.59,54.41,54.41,"10,210,000"
"Mar 01, 2024",53.99,54.1,53.6,53.78,53.78,"8,260,000"
"Feb 29, 2024",53.62,54.07,53.47,53.78,53.78,"9,870,000"
"Feb 28, 2024",52.68,53.46,52.68,53.43,53.43,"6,455,000"
"Feb 27, 2024",53.26,53.27,52.5,52.9,52.9,"6,475,000"
"Feb 26, 2024",53.3,53.45,52.93,53.21,53.21,"6,585,000"
"Feb 23, 2024",52.89,53.15,52.63,52.93,52.93,"7,940,000"
"Feb 22, 2024",51.87,52.74,51.87,52.55,52.55,"10,235,000"
"Feb 21, 2024",51.41,51.52,51.15,51.39,51.39,"7,020,000"
"Feb 20, 2024",51.91,52.24,51.38,51.6,51.6,"10,160,000"
"Feb 16, 2024",52.4,52.51,51.96,51.97,51.97,"6,915,000"
"Feb 15, 2024",52.33,52.53,52.05,52.36,52.36,"8,365,000"
"Feb 14, 2024",52.29,52.65,51.88,52.4,52.4,"6,790,000"
"Feb 13, 2024",51.77,52.85,51.72,51.98,51.98,"11,580,000"
