Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 25, 2024",150,155.68,150,152.82,152.82,"500,700"
"Oct 24, 2024",150.16,150.36,147.82,148.85,148.85,"758,800"
"Oct 23, 2024",147.88,150.16,147.74,149.98,149.98,"287,600"
"Oct 22, 2024",147.16,149.4,146.94,148.79,148.79,"382,800"
"Oct 21, 2024",148.98,149.84,147.22,147.72,147.72,"304,700"
"Oct 18, 2024",149.03,149.51,147.83,148.43,148.43,"259,600"
"Oct 17, 2024",150.36,150.91,148.9,149.04,149.04,"194,300"
"Oct 16, 2024",149.85,152.29,149.85,150.82,150.82,"246,000"
"Oct 15, 2024",147.71,150.58,147.08,149.12,149.12,"271,900"
"Oct 14, 2024",147.24,148.08,145.72,147.83,147.83,"310,600"
"Oct 11, 2024",145.76,148.2,145.76,147.24,147.24,"230,800"
"Oct 10, 2024",145.04,145.76,144.27,145.57,145.57,"308,800"
"Oct 09, 2024",145.16,146.51,145.1,146.29,146.29,"277,400"
"Oct 08, 2024",144.36,145.74,143.66,145.28,145.28,"232,400"
"Oct 07, 2024",143.59,144.26,142.61,143.47,143.47,"290,700"
"Oct 04, 2024",146.53,146.98,144.1,144.26,144.26,"306,400"
"Oct 03, 2024",145.46,146.58,143.88,145.9,145.9,"363,800"
"Oct 02, 2024",144.4,146.31,143.82,145.34,145.34,"355,100"
"Oct 01, 2024",144.19,146.51,143.15,145.18,145.18,"813,900"
"Sep 30, 2024",143.58,145.62,137.44,143.82,143.82,"11,223,200"
"Sep 30, 2024",0.06 Dividend,,,,,
"Sep 27, 2024",143.77,145.63,140.72,144.11,144.05,"1,439,300"
"Sep 26, 2024",151.31,151.31,147.04,147.43,147.37,"425,900"
"Sep 25, 2024",152.55,152.55,150.46,150.6,150.54,"174,100"
"Sep 24, 2024",151.23,152.5,150.39,152.24,152.18,"187,900"
"Sep 23, 2024",151.79,152.5,150.96,151.73,151.67,"179,500"
"Sep 20, 2024",152.71,153.12,150.08,150.86,150.8,"865,000"
"Sep 19, 2024",152.7,152.76,149.9,152.24,152.18,"392,300"
"Sep 18, 2024",151.77,154.12,150.35,151,150.94,"266,600"
"Sep 17, 2024",154.3,154.93,152.01,152.03,151.97,"412,200"
"Sep 16, 2024",153.81,154.44,152.91,153.67,153.61,"184,600"
"Sep 13, 2024",152.45,153.64,150.93,152.73,152.67,"351,200"
"Sep 12, 2024",151.34,152.65,149.75,151.91,151.85,"207,100"
"Sep 11, 2024",151.01,151.3,147.99,150.55,150.49,"272,500"
"Sep 10, 2024",151.57,152.33,149.94,151.66,151.6,"663,800"
"Sep 09, 2024",149.48,151.78,149.19,151.59,151.53,"492,500"
"Sep 06, 2024",151.65,152.07,148.25,149.05,148.99,"1,018,200"
"Sep 05, 2024",149.85,152.63,149.56,151.67,151.61,"369,300"
"Sep 04, 2024",147.92,150.26,147.76,149.83,149.77,"284,000"
"Sep 03, 2024",151,151.56,147.82,148.11,148.05,"457,200"
"Aug 30, 2024",150.2,151.74,146.66,151.36,151.3,"283,300"
"Aug 29, 2024",149.6,150.81,148.75,150.09,150.03,"359,400"
"Aug 28, 2024",148.43,149.65,146.08,148.66,148.6,"312,200"
"Aug 27, 2024",146.2,148.42,145.19,148.16,148.1,"268,900"
"Aug 26, 2024",148.07,148.84,146.77,147.03,146.97,"190,200"
"Aug 23, 2024",146.95,148.17,145.83,148.07,148.01,"261,000"
"Aug 22, 2024",145,146.76,143.86,146.37,146.31,"306,300"
"Aug 21, 2024",143.72,144.97,142.28,144.75,144.69,"204,000"
"Aug 20, 2024",141.89,143.82,141.01,143.72,143.66,"200,500"
"Aug 19, 2024",141,141.95,140.39,141.92,141.86,"154,900"
"Aug 16, 2024",141.42,142.36,141,141.25,141.19,"160,700"
"Aug 15, 2024",141.71,142.52,140.94,141.37,141.31,"312,100"
"Aug 14, 2024",142.25,142.27,140.04,140.18,140.12,"281,800"
"Aug 13, 2024",141.02,142.34,140.93,142.06,142,"158,400"
"Aug 12, 2024",141.05,141.05,139.19,140.03,139.97,"176,400"
"Aug 09, 2024",140.97,142.04,140.15,141.25,141.19,"242,500"
"Aug 08, 2024",139.02,140.82,138.11,140.81,140.75,"208,500"
"Aug 07, 2024",142.25,142.87,137.72,138.01,137.95,"262,700"
"Aug 06, 2024",137.2,142.24,136.91,141.06,141,"425,400"
"Aug 05, 2024",133.65,137.49,133.58,137.2,137.14,"451,100"
"Aug 02, 2024",136.04,140.81,136.04,139.6,139.54,"356,600"
"Aug 01, 2024",141.04,142.13,138.44,139.54,139.48,"508,400"
"Jul 31, 2024",145,145,140.5,140.75,140.69,"489,400"
"Jul 30, 2024",146.43,147.93,144.04,145.43,145.37,"381,500"
"Jul 29, 2024",144.07,146.58,142.09,146.01,145.95,"510,400"
"Jul 26, 2024",140.2,143.86,135.58,142.8,142.74,"531,700"
"Jul 25, 2024",137.7,140.61,135.83,136.17,136.11,"610,300"
"Jul 24, 2024",136.04,140.65,135.88,136.6,136.54,"457,700"
"Jul 23, 2024",136.05,138.95,134.88,135.93,135.87,"310,200"
"Jul 22, 2024",135.56,136.12,134.22,135.91,135.85,"285,500"
"Jul 19, 2024",137.28,139.37,135.41,135.47,135.41,"248,300"
"Jul 18, 2024",138,141.39,136.5,136.65,136.59,"413,800"
"Jul 17, 2024",139.56,142.01,138.01,138.52,138.46,"589,000"
"Jul 16, 2024",136.16,140.4,135.96,139.86,139.8,"514,000"
"Jul 15, 2024",135.18,137.75,134.54,135.18,135.12,"433,000"
"Jul 12, 2024",134.08,135.79,133.95,134.33,134.27,"461,600"
"Jul 11, 2024",131.65,134.59,131.49,133.11,133.05,"673,300"
