Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 25, 2024",21.5,22.2,21.27,21.73,21.73,"3,971,000"
"Oct 24, 2024",21.62,21.97,21.16,21.52,21.52,"5,932,000"
"Oct 23, 2024",23.15,23.2,20.77,21.38,21.38,"11,670,600"
"Oct 22, 2024",22.8,23.74,22.55,23.59,23.59,"7,418,600"
"Oct 21, 2024",22.2,23.31,21.86,23.05,23.05,"8,054,500"
"Oct 18, 2024",21.76,22.16,21.1,22.15,22.15,"6,348,400"
"Oct 17, 2024",21.8,22.28,21.25,21.56,21.56,"7,421,300"
"Oct 16, 2024",22.64,23.07,22.19,22.36,22.36,"8,478,700"
"Oct 15, 2024",20.41,22.94,20.08,22.8,22.8,"17,277,400"
"Oct 14, 2024",20,21.19,19.7,20.5,20.5,"19,101,300"
"Oct 11, 2024",17.8,18.73,17.36,18.69,18.69,"8,557,100"
"Oct 10, 2024",18.01,18.23,17.53,17.85,17.85,"11,351,700"
"Oct 09, 2024",18.32,19.2,18.15,18.73,18.73,"8,671,400"
"Oct 08, 2024",18.5,19.17,18.29,18.75,18.75,"49,075,100"
"Oct 07, 2024",18.75,19.99,18.61,19.44,19.44,"25,996,700"
"Oct 04, 2024",17.55,17.74,16.69,17.66,17.66,"7,932,000"
"Oct 03, 2024",16.95,17.39,16.05,17.13,17.13,"25,320,900"
"Oct 02, 2024",19.16,19.24,18.3,18.95,18.95,"6,008,500"
"Oct 01, 2024",18.5,19.36,17.91,19.31,19.31,"10,062,500"
"Sep 30, 2024",17.87,18.65,17.6,18.42,18.42,"7,009,900"
"Sep 27, 2024",17.81,17.95,17.03,17.77,17.77,"5,526,400"
"Sep 26, 2024",17.55,18.08,17.25,17.71,17.71,"5,489,600"
"Sep 25, 2024",17.37,17.52,17.04,17.26,17.26,"4,011,200"
"Sep 24, 2024",16.6,17.29,16.36,17.27,17.27,"5,986,200"
"Sep 23, 2024",16.46,16.53,16.19,16.44,16.44,"3,949,100"
"Sep 20, 2024",16.81,16.9,15.73,16.3,16.3,"11,135,600"
"Sep 19, 2024",17.12,17.19,16.63,16.92,16.92,"6,794,600"
"Sep 18, 2024",16.27,16.8,16.15,16.31,16.31,"4,715,700"
"Sep 17, 2024",16.5,16.69,15.89,16.1,16.1,"5,082,800"
"Sep 16, 2024",16.45,16.68,16.13,16.28,16.28,"4,883,800"
"Sep 13, 2024",16.25,16.91,16.09,16.57,16.57,"8,820,000"
"Sep 12, 2024",15.24,16.41,15.19,15.82,15.82,"10,276,900"
"Sep 11, 2024",14.55,15.5,14.53,15.27,15.27,"6,851,300"
"Sep 10, 2024",13.86,14.64,13.84,14.53,14.53,"5,752,700"
"Sep 09, 2024",13.96,14.19,13.7,13.97,13.97,"6,025,000"
"Sep 06, 2024",14.31,14.42,13.47,13.65,13.65,"9,235,400"
"Sep 05, 2024",14.49,14.67,14.16,14.43,14.43,"3,824,200"
"Sep 04, 2024",14.33,14.83,14.17,14.61,14.61,"4,018,700"
"Sep 03, 2024",14.65,14.72,14.31,14.5,14.5,"6,559,000"
"Aug 30, 2024",14.81,14.94,14.37,14.73,14.73,"5,448,500"
"Aug 29, 2024",14.74,14.98,14.57,14.73,14.73,"4,899,900"
"Aug 28, 2024",14.45,15.05,14.4,14.64,14.64,"7,675,000"
"Aug 27, 2024",14.82,15.45,14.76,14.84,14.84,"13,887,700"
"Aug 26, 2024",16.78,16.78,15.93,16.05,16.05,"5,935,900"
"Aug 23, 2024",16.74,17.38,16.54,16.73,16.73,"7,369,500"
"Aug 22, 2024",17.29,17.61,16.33,16.46,16.46,"9,802,400"
"Aug 21, 2024",16.71,16.8,16.08,16.57,16.57,"5,351,700"
"Aug 20, 2024",16.71,16.93,16.02,16.53,16.53,"6,515,600"
