Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 25, 2024",55.45,55.74,55.33,55.4,55.4,"2,666,100"
"Oct 24, 2024",55.28,55.29,54.99,55.25,55.25,"2,159,900"
"Oct 23, 2024",55.32,55.32,54.61,54.92,54.92,"4,314,300"
"Oct 22, 2024",55.23,55.48,55.17,55.43,55.43,"2,259,600"
"Oct 21, 2024",55.29,55.37,55.1,55.36,55.36,"3,388,500"
"Oct 18, 2024",55.19,55.31,55.14,55.27,55.27,"1,913,500"
"Oct 17, 2024",55.24,55.24,54.95,54.99,54.99,"2,435,100"
"Oct 16, 2024",54.93,54.95,54.66,54.91,54.91,"2,564,600"
"Oct 15, 2024",55.19,55.19,54.74,54.84,54.84,"2,902,100"
"Oct 14, 2024",55.02,55.15,55.01,55.09,55.09,"3,335,600"
"Oct 11, 2024",54.7,54.92,54.7,54.86,54.86,"2,335,600"
"Oct 10, 2024",54.69,54.84,54.61,54.76,54.76,"1,894,800"
"Oct 09, 2024",54.58,54.77,54.49,54.75,54.75,"2,404,200"
"Oct 08, 2024",54.31,54.58,54.26,54.53,54.53,"2,284,700"
"Oct 07, 2024",54.39,54.42,54.03,54.1,54.1,"3,206,300"
"Oct 04, 2024",54.39,54.4,54.04,54.37,54.37,"2,194,400"
"Oct 03, 2024",53.91,54.14,53.78,53.94,53.94,"3,113,200"
"Oct 02, 2024",53.91,54.12,53.69,54.01,54.01,"2,889,000"
"Oct 01, 2024",54.38,54.39,53.68,53.95,53.95,"4,477,200"
"Oct 01, 2024",0.551 Dividend,,,,,
"Sep 30, 2024",54.83,54.94,54.62,54.93,54.38,"3,942,500"
"Sep 27, 2024",54.96,54.96,54.72,54.8,54.25,"2,702,500"
"Sep 26, 2024",55.09,55.1,54.69,54.89,54.34,"3,875,300"
"Sep 25, 2024",54.72,54.82,54.66,54.73,54.18,"2,187,000"
"Sep 24, 2024",54.65,54.75,54.34,54.71,54.16,"2,091,500"
"Sep 23, 2024",54.55,54.63,54.44,54.57,54.02,"2,206,200"
"Sep 20, 2024",54.41,54.47,54.13,54.41,53.86,"1,790,000"
"Sep 19, 2024",54.43,54.57,54.21,54.42,53.87,"3,209,700"
"Sep 18, 2024",53.83,54.05,53.51,53.57,53.03,"2,380,800"
"Sep 17, 2024",53.88,53.96,53.44,53.68,53.14,"2,258,200"
"Sep 16, 2024",53.67,53.67,53.36,53.64,53.1,"1,822,200"
"Sep 13, 2024",53.54,53.84,53.52,53.75,53.21,"1,945,200"
"Sep 12, 2024",53.23,53.61,53.01,53.54,53,"3,886,500"
"Sep 11, 2024",52.49,53.22,51.69,53.16,52.63,"2,319,900"
"Sep 10, 2024",52.17,52.38,51.74,52.33,51.81,"2,380,500"
"Sep 09, 2024",51.8,52,51.47,51.93,51.41,"2,128,500"
"Sep 06, 2024",52.4,52.45,51.28,51.36,50.84,"4,311,500"
"Sep 05, 2024",52.26,52.74,52.15,52.38,51.85,"2,394,300"
"Sep 04, 2024",52.19,52.65,52.08,52.35,51.82,"2,476,900"
"Sep 03, 2024",53.35,53.36,52.19,52.42,51.89,"3,482,000"
"Sep 03, 2024",0.557 Dividend,,,,,
"Aug 30, 2024",53.9,54.09,53.64,54.08,52.99,"2,476,700"
"Aug 29, 2024",53.75,54.04,53.49,53.6,52.52,"3,267,000"
"Aug 28, 2024",53.89,53.89,53.27,53.54,52.46,"3,179,300"
"Aug 27, 2024",53.68,53.94,53.5,53.88,52.79,"1,584,800"
"Aug 26, 2024",53.99,54.03,53.6,53.76,52.67,"2,223,200"
"Aug 23, 2024",53.78,53.99,53.56,53.9,52.81,"2,187,600"
"Aug 22, 2024",54.09,54.11,53.46,53.51,52.43,"2,425,300"
"Aug 21, 2024",53.94,54.06,53.78,53.97,52.88,"1,706,700"
"Aug 20, 2024",53.89,54,53.74,53.87,52.78,"1,947,100"
"Aug 19, 2024",53.49,53.91,53.37,53.91,52.82,"2,560,100"
"Aug 16, 2024",53.25,53.53,53.22,53.45,52.37,"1,688,800"
"Aug 15, 2024",53.1,53.4,52.98,53.37,52.29,"3,163,100"
"Aug 14, 2024",52.56,52.67,52.11,52.51,51.45,"2,490,100"
"Aug 13, 2024",51.84,52.42,51.79,52.4,51.34,"2,605,800"
"Aug 12, 2024",51.44,51.68,51.13,51.39,50.35,"2,510,000"
"Aug 09, 2024",50.94,51.5,50.78,51.29,50.25,"2,439,600"
"Aug 08, 2024",50.35,51.07,49.88,50.98,49.95,"2,526,900"
"Aug 07, 2024",50.98,51.19,49.65,49.7,48.69,"3,850,400"
"Aug 06, 2024",49.99,50.99,49.58,50.19,49.17,"3,756,100"
"Aug 05, 2024",48.19,50.43,47.67,49.72,48.71,"7,877,400"
"Aug 02, 2024",51.14,51.62,50.63,51.14,50.11,"9,301,600"
"Aug 01, 2024",53.4,53.74,51.84,52.25,51.19,"4,166,800"
"Aug 01, 2024",0.427 Dividend,,,,,
"Jul 31, 2024",53.36,53.9,53.26,53.72,52.22,"3,727,300"
"Jul 30, 2024",53.29,53.33,52,52.38,50.91,"3,849,400"
"Jul 29, 2024",53.21,53.47,52.82,53.03,51.54,"2,757,000"
"Jul 26, 2024",52.99,53.25,52.65,52.96,51.48,"3,234,800"
"Jul 25, 2024",53.12,53.53,52.18,52.48,51.01,"4,341,800"
"Jul 24, 2024",54.19,54.19,52.98,53.05,51.56,"4,561,900"
"Jul 23, 2024",54.91,55.16,54.75,54.8,53.26,"2,740,400"
"Jul 22, 2024",54.71,55.03,54.49,54.95,53.41,"2,893,700"
"Jul 19, 2024",54.55,54.79,54.07,54.19,52.67,"2,341,400"
"Jul 18, 2024",55.16,55.17,54.27,54.56,53.03,"5,295,300"
"Jul 17, 2024",55.46,55.46,54.84,54.85,53.31,"4,465,300"
"Jul 16, 2024",55.98,56.05,55.79,55.95,54.38,"3,168,400"
"Jul 15, 2024",55.99,56.12,55.81,55.91,54.34,"2,387,200"
"Jul 12, 2024",55.73,56.08,55.67,55.84,54.28,"2,115,700"
"Jul 11, 2024",56.18,56.18,55.56,55.63,54.07,"3,380,200"
"Jul 10, 2024",56.08,56.12,56,56.11,54.54,"2,145,400"
"Jul 09, 2024",56.07,56.07,55.93,55.97,54.4,"2,887,100"
"Jul 08, 2024",55.91,55.98,55.86,55.96,54.39,"2,550,200"
"Jul 05, 2024",55.73,55.89,55.69,55.88,54.31,"3,941,500"
"Jul 03, 2024",55.46,55.65,55.44,55.64,54.08,"3,661,000"
"Jul 02, 2024",55.08,55.45,55.08,55.45,53.9,"2,990,500"
"Jul 01, 2024",55.15,55.25,54.83,55.21,53.66,"3,098,600"
"Jul 01, 2024",0.421 Dividend,,,,,
"Jun 28, 2024",55.7,55.84,55.44,55.5,53.54,"3,608,500"
"Jun 27, 2024",55.51,55.63,55.44,55.56,53.59,"3,069,000"
"Jun 26, 2024",55.32,55.5,55.29,55.49,53.53,"2,947,600"
"Jun 25, 2024",55.21,55.34,55.1,55.33,53.37,"2,659,700"
"Jun 24, 2024",55.24,55.27,55.05,55.06,53.11,"2,866,800"
"Jun 21, 2024",55.23,55.31,55.11,55.24,53.29,"1,995,300"
"Jun 20, 2024",55.44,55.44,55.11,55.22,53.27,"2,699,200"
"Jun 18, 2024",55.33,55.35,55.27,55.33,53.37,"2,431,800"
"Jun 17, 2024",55.23,55.32,55.16,55.28,53.32,"2,979,800"
"Jun 14, 2024",55.1,55.18,55.09,55.18,53.23,"1,962,100"
"Jun 13, 2024",55.19,55.2,55.03,55.16,53.21,"2,151,700"
"Jun 12, 2024",55.08,55.15,54.95,55.06,53.11,"3,326,000"
"Jun 11, 2024",54.54,54.76,54.46,54.76,52.82,"1,887,900"
"Jun 10, 2024",54.46,54.63,54.41,54.6,52.67,"2,136,000"
"Jun 07, 2024",54.46,54.59,54.38,54.49,52.56,"1,826,700"
