Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 25, 2024",225,225.62,220.88,222.31,222.31,"6,369,700"
"Oct 24, 2024",221.83,225.06,221.66,224.98,224.98,"6,002,200"
"Oct 23, 2024",223.66,224.8,222.53,223.41,223.41,"6,180,500"
"Oct 22, 2024",223.02,225.28,221.1,224.12,224.12,"9,586,800"
"Oct 21, 2024",225.22,225.7,222.9,223,223,"5,870,000"
"Oct 18, 2024",225,225.92,223.1,225.37,225.37,"7,000,500"
"Oct 17, 2024",224.27,225.85,223.31,224.42,224.42,"6,470,200"
"Oct 16, 2024",222.33,223.68,221.04,223.64,223.64,"6,382,500"
"Oct 15, 2024",223.66,225.45,221.82,222.39,222.39,"9,235,800"
"Oct 14, 2024",223.2,223.7,218.88,221.48,221.48,"9,048,900"
"Oct 11, 2024",215.67,224.63,215.16,222.29,222.29,"18,320,700"
"Oct 10, 2024",214.81,214.81,211.47,212.84,212.84,"7,927,100"
"Oct 09, 2024",209.7,214.24,209.38,213.42,213.42,"7,024,000"
"Oct 08, 2024",210.58,211.33,208.38,210.75,210.75,"6,021,800"
"Oct 07, 2024",211.03,213.33,209.69,210.93,210.93,"6,718,900"
"Oct 04, 2024",209.3,211.67,206.91,211.22,211.22,"10,211,700"
"Oct 04, 2024",1.25 Dividend,,,,,
"Oct 03, 2024",206.17,206.49,204.34,205.23,203.98,"7,251,300"
"Oct 02, 2024",207.08,208.95,205.69,207.29,206.03,"5,810,900"
"Oct 01, 2024",208.9,209.09,206.19,207.04,205.78,"8,540,100"
"Sep 30, 2024",206.31,210.96,205.26,210.86,209.58,"8,663,800"
"Sep 27, 2024",210.65,212.44,209.33,210.5,209.22,"7,032,500"
"Sep 26, 2024",211.13,211.7,209.01,209.78,208.5,"7,807,500"
"Sep 25, 2024",211.68,212.24,208.61,210.19,208.91,"8,976,500"
"Sep 24, 2024",211.15,212.95,210.37,211.59,210.3,"7,323,200"
"Sep 23, 2024",211,211.8,209.99,211.44,210.15,"7,223,500"
"Sep 20, 2024",209.93,211.42,209.5,211.09,209.8,"20,885,000"
"Sep 19, 2024",209.78,211.91,207.34,210.48,209.2,"11,635,200"
"Sep 18, 2024",209.01,211.34,206.7,207.53,206.27,"8,259,900"
"Sep 17, 2024",207.73,209.93,207.66,209.25,207.98,"7,573,300"
"Sep 16, 2024",205.83,208.21,205.59,207.86,206.59,"8,634,900"
"Sep 13, 2024",206.86,207.85,203.02,204.32,203.08,"10,226,700"
"Sep 12, 2024",207.65,208.78,204.89,206.6,205.34,"9,055,800"
"Sep 11, 2024",205.25,207.7,201.83,207.23,205.97,"13,658,700"
"Sep 10, 2024",218.6,218.64,200.61,205.56,204.31,"28,406,900"
"Sep 09, 2024",215.19,218.15,214.18,216.81,215.49,"8,935,100"
"Sep 06, 2024",217.6,218.74,211.09,212.46,211.17,"7,777,000"
"Sep 05, 2024",220.15,220.8,216.03,217.63,216.3,"8,067,900"
