Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 25, 2024",899.73,900.96,889.45,892.7,892.7,"2,228,300"
"Oct 24, 2024",898.33,900,888.28,891.32,891.32,"1,797,100"
"Oct 23, 2024",905.62,907.95,891.73,903.25,903.25,"2,646,600"
"Oct 22, 2024",901.68,911.12,900.2,909.15,909.15,"1,391,800"
"Oct 21, 2024",917.98,918.86,904.56,906.13,906.13,"1,592,200"
"Oct 18, 2024",917.18,920.92,905.62,917.97,917.97,"2,286,900"
"Oct 17, 2024",921,930.51,916.04,917.12,917.12,"2,191,200"
"Oct 16, 2024",910.03,917.81,897.84,916.42,916.42,"1,645,400"
"Oct 15, 2024",924.44,926.52,907.8,913.32,913.32,"2,284,200"
"Oct 14, 2024",936,937,926,929.51,929.51,"1,550,400"
"Oct 11, 2024",916.04,932.24,911.18,932.06,932.06,"2,293,900"
"Oct 10, 2024",920,922,905.15,910.69,910.69,"1,682,100"
"Oct 09, 2024",916.29,921.35,912,919.74,919.74,"1,820,100"
"Oct 08, 2024",903,921.97,902.23,913.72,913.72,"2,200,000"
"Oct 07, 2024",890.51,905.28,889.57,898.4,898.4,"2,915,700"
"Oct 04, 2024",885.91,888.97,876.89,887.16,887.16,"1,970,500"
"Oct 03, 2024",889.54,892,880.88,885.55,885.55,"1,974,700"
"Oct 02, 2024",880,893.35,878.7,891.07,891.07,"1,751,600"
"Oct 01, 2024",888.83,891.27,878.87,884.48,884.48,"2,455,200"
"Sep 30, 2024",864.52,887.43,858.81,885.94,885.94,"3,244,600"
"Sep 27, 2024",893.62,901.21,875.61,877.79,877.79,"4,377,300"
"Sep 26, 2024",920.26,921.85,905.3,909.32,909.32,"2,693,000"
"Sep 25, 2024",931.79,939.3,921.19,924.56,924.56,"1,805,100"
"Sep 24, 2024",922.12,925.68,909.2,924.43,924.43,"2,767,400"
"Sep 23, 2024",921,922,909.45,918.52,918.52,"2,292,000"
"Sep 20, 2024",921.99,939.86,913.2,921.49,921.49,"9,921,800"
"Sep 19, 2024",912.85,916.81,903.86,915.04,915.04,"2,446,500"
"Sep 18, 2024",906.31,915.5,903.46,904.97,904.97,"1,777,000"
"Sep 17, 2024",921.5,921.5,902.3,906.18,906.18,"2,248,000"
"Sep 16, 2024",931.13,932.61,920.43,923.54,923.54,"1,760,300"
"Sep 13, 2024",937.01,942.35,922.1,923.71,923.71,"2,045,400"
"Sep 12, 2024",924.31,937.62,918.63,935.02,935.02,"2,511,800"
"Sep 11, 2024",902.15,921.54,897.2,920.89,920.89,"2,721,100"
"Sep 10, 2024",914.11,915.11,895,901.25,901.25,"1,930,400"
"Sep 09, 2024",912.57,915.43,895.92,908.27,908.27,"2,405,900"
"Sep 06, 2024",917.76,927.9,893,902.71,902.71,"3,440,000"
"Sep 05, 2024",941.16,943,906.17,912.75,912.75,"3,201,100"
"Sep 04, 2024",949.75,954,938.01,946.31,946.31,"1,891,700"
"Sep 03, 2024",957.77,969.65,951.58,956.53,956.53,"2,529,400"
"Aug 30, 2024",945,961,940.51,960.02,960.02,"2,555,100"
"Aug 29, 2024",955,957.52,936,940.2,940.2,"1,762,800"
"Aug 28, 2024",954.15,958.34,943.26,948.94,948.94,"1,701,800"
"Aug 27, 2024",952.5,972.48,949.95,954.48,954.48,"2,912,900"
"Aug 26, 2024",949.2,955,942.77,950.53,950.53,"2,166,000"
"Aug 23, 2024",955.44,960.5,943.11,952.74,952.74,"2,063,300"
"Aug 22, 2024",951.98,972.53,948.14,954.17,954.17,"3,183,700"
"Aug 21, 2024",955.62,956.5,939.17,951.97,951.97,"2,617,000"
"Aug 20, 2024",932.1,967,930.51,949.97,949.97,"4,961,500"
"Aug 19, 2024",922.12,926,916.5,921.81,921.81,"2,374,600"
"Aug 16, 2024",928.39,936.3,919.39,922.12,922.12,"2,364,900"
"Aug 15, 2024",936,937.96,920,931.58,931.58,"3,080,000"
"Aug 15, 2024",1.3 Dividend,,,,,
"Aug 14, 2024",910,934.38,903.79,931.68,930.38,"3,562,900"
"Aug 13, 2024",894.08,914.69,890.33,908.05,906.78,"3,506,800"
"Aug 12, 2024",904.21,904.72,883,884.38,883.15,"4,206,100"
"Aug 09, 2024",860,908.49,860,891.68,890.44,"6,587,600"
"Aug 08, 2024",875,877.78,825.24,845.31,844.13,"9,434,900"
"Aug 07, 2024",778.3,786.58,763.02,772.14,771.06,"4,407,700"
"Aug 06, 2024",789.14,806.27,785,793.18,792.07,"3,437,600"
"Aug 05, 2024",758,792.94,747.55,775.26,774.18,"4,661,800"
"Aug 02, 2024",816.67,820.19,787.02,804.46,803.34,"3,515,900"
"Aug 01, 2024",833.62,840.89,820.18,832.44,831.28,"4,060,700"
"Jul 31, 2024",800.17,811.14,792.09,804.27,803.15,"2,961,700"
"Jul 30, 2024",815.18,821.9,775.81,790.21,789.11,"3,848,600"
"Jul 29, 2024",814.01,824.77,804,807.79,806.66,"2,473,700"
"Jul 26, 2024",811.87,822.01,801.3,804.62,803.5,"4,173,900"
"Jul 25, 2024",847,851.62,806.38,821.19,820.04,"5,468,000"
"Jul 24, 2024",872.5,878.34,854.27,859.88,858.68,"2,726,100"
"Jul 23, 2024",870,887.72,864.08,878.29,877.06,"2,087,700"
"Jul 22, 2024",864.8,874.42,856.82,865.97,864.76,"2,904,500"
"Jul 19, 2024",867.66,880.21,853,857.47,856.27,"3,782,200"
"Jul 18, 2024",907.03,909.87,836.66,848.9,847.72,"7,649,600"
"Jul 17, 2024",910.01,925,902.64,905.59,904.33,"4,200,600"
"Jul 16, 2024",955.75,956.39,938.38,941.6,940.29,"2,111,800"
"Jul 15, 2024",956.2,966.1,948.09,950.46,949.13,"2,358,700"
"Jul 12, 2024",937,950.79,936.03,948.4,947.08,"2,315,100"
"Jul 11, 2024",934.09,942.88,918.62,934.14,932.84,"2,855,100"
"Jul 10, 2024",936.57,945.69,933,939.78,938.47,"2,683,300"
"Jul 09, 2024",929.05,935,920.78,932.5,931.2,"2,416,000"
"Jul 08, 2024",917.89,928.61,912,918,916.72,"2,364,600"
