Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 25, 2024",426.76,432.52,426.57,428.15,428.15,"16,899,100"
"Oct 24, 2024",425.33,425.98,422.4,424.73,424.73,"13,581,600"
"Oct 23, 2024",430.86,431.08,422.53,424.6,424.6,"19,654,400"
"Oct 22, 2024",418.49,430.58,418.04,427.51,427.51,"25,482,200"
"Oct 21, 2024",416.12,418.96,413.75,418.78,418.78,"14,206,100"
"Oct 18, 2024",417.14,419.65,416.26,418.16,418.16,"17,145,300"
"Oct 17, 2024",422.36,422.5,415.59,416.72,416.72,"14,820,000"
"Oct 16, 2024",415.17,416.36,410.48,416.12,416.12,"15,508,900"
"Oct 15, 2024",422.18,422.48,415.26,418.74,418.74,"18,900,200"
"Oct 14, 2024",417.77,424.04,417.52,419.14,419.14,"16,653,100"
"Oct 11, 2024",416.14,417.13,413.25,416.32,416.32,"14,144,900"
"Oct 10, 2024",415.23,417.35,413.15,415.84,415.84,"13,848,400"
"Oct 09, 2024",415.86,420.38,414.3,417.46,417.46,"14,974,300"
"Oct 08, 2024",410.9,415.66,408.17,414.71,414.71,"19,229,300"
"Oct 07, 2024",416,417.11,409,409.54,409.54,"20,919,800"
"Oct 04, 2024",418.24,419.75,414.97,416.06,416.06,"19,169,700"
"Oct 03, 2024",417.63,419.55,414.29,416.54,416.54,"13,686,400"
"Oct 02, 2024",422.58,422.82,416.71,417.13,417.13,"16,582,300"
"Oct 01, 2024",428.45,428.48,418.81,420.69,420.69,"19,092,900"
"Sep 30, 2024",428.21,430.42,425.37,430.3,430.3,"16,807,300"
"Sep 27, 2024",431.52,431.85,427.47,428.02,428.02,"14,896,100"
"Sep 26, 2024",435.09,435.3,429.13,431.31,431.31,"14,492,000"
"Sep 25, 2024",429.83,433.12,428.57,432.11,432.11,"13,396,400"
"Sep 24, 2024",433,433.35,426.1,429.17,429.17,"17,015,800"
"Sep 23, 2024",434.28,436.46,430.39,433.51,433.51,"15,128,900"
"Sep 20, 2024",437.22,439.24,434.22,435.27,435.27,"55,167,100"
"Sep 19, 2024",441.23,441.5,436.9,438.69,438.69,"21,706,600"
"Sep 18, 2024",435,436.03,430.41,430.81,430.81,"18,898,000"
"Sep 17, 2024",440.23,441.85,432.27,435.15,435.15,"18,874,200"
"Sep 16, 2024",430.6,433.53,428.22,431.34,431.34,"13,834,700"
"Sep 13, 2024",425.83,431.83,425.46,430.59,430.59,"15,874,600"
"Sep 12, 2024",423.31,427.37,419.75,427,427,"17,418,800"
"Sep 11, 2024",415.5,423.99,409.58,423.04,423.04,"19,266,900"
"Sep 10, 2024",408.2,416.33,407.7,414.2,414.2,"19,594,300"
"Sep 09, 2024",407.24,408.65,402.15,405.72,405.72,"15,295,100"
"Sep 06, 2024",409.06,410.65,400.8,401.7,401.7,"19,609,500"
"Sep 05, 2024",407.62,413.1,406.13,408.39,408.39,"14,195,500"
"Sep 04, 2024",405.91,411.24,404.37,408.9,408.9,"15,135,800"
"Sep 03, 2024",417.91,419.88,407.03,409.44,409.44,"20,313,600"
"Aug 30, 2024",415.6,417.49,412.13,417.14,417.14,"24,308,300"
"Aug 29, 2024",414.94,422.05,410.6,413.12,413.12,"17,045,200"
"Aug 28, 2024",414.88,415,407.31,410.6,410.6,"14,882,700"
"Aug 27, 2024",412.86,414.36,410.25,413.84,413.84,"13,492,900"
"Aug 26, 2024",416.37,417.28,411.34,413.49,413.49,"13,152,800"
"Aug 23, 2024",416.98,419.26,412.09,416.79,416.79,"18,493,800"
"Aug 22, 2024",424.36,426.79,414.61,415.55,415.55,"19,361,900"
"Aug 21, 2024",424.08,426.4,421.72,424.14,424.14,"16,067,300"
"Aug 20, 2024",421.7,425.86,421.64,424.8,424.8,"16,387,600"
"Aug 19, 2024",418.96,421.75,416.46,421.53,421.53,"15,234,000"
"Aug 16, 2024",420.6,421.34,417.3,418.47,418.47,"22,775,600"
"Aug 15, 2024",419.8,421.11,417.66,421.03,421.03,"20,752,100"
"Aug 15, 2024",0.75 Dividend,,,,,
"Aug 14, 2024",414.8,417.72,412.45,416.86,416.11,"18,267,000"
"Aug 13, 2024",409.59,414.95,409.57,414.01,413.27,"19,414,300"
"Aug 12, 2024",407.06,408.76,404.24,406.81,406.08,"16,762,900"
"Aug 09, 2024",404.03,408.05,402.26,406.02,405.29,"19,276,700"
"Aug 08, 2024",402.44,405.86,399.94,402.69,401.97,"20,203,000"
"Aug 07, 2024",408.64,410.08,397.47,398.43,397.71,"20,650,900"
"Aug 06, 2024",400,405.67,398.5,399.61,398.89,"24,946,500"
"Aug 05, 2024",389.17,401.04,385.58,395.15,394.44,"40,709,200"
"Aug 02, 2024",412.49,415,404.34,408.49,407.76,"29,437,900"
"Aug 01, 2024",420.79,427.46,413.09,417.11,416.36,"30,296,400"
"Jul 31, 2024",420.5,421.78,412.21,418.35,417.6,"42,891,400"
"Jul 30, 2024",427.72,429.05,417.36,422.92,422.16,"32,687,600"
"Jul 29, 2024",431.58,432.15,424.7,426.73,425.96,"15,125,800"
"Jul 26, 2024",418.2,428.92,417.27,425.27,424.5,"23,583,800"
"Jul 25, 2024",428.8,429.8,417.51,418.4,417.65,"29,943,800"
"Jul 24, 2024",440.45,441.48,427.59,428.9,428.13,"26,805,800"
"Jul 23, 2024",443.9,448.39,443.1,444.85,444.05,"13,107,100"
"Jul 22, 2024",441.79,444.6,438.91,442.94,442.14,"15,808,800"
"Jul 19, 2024",433.1,441.14,432,437.11,436.32,"20,940,400"
"Jul 18, 2024",444.34,444.65,434.4,440.37,439.58,"20,794,800"
"Jul 17, 2024",442.59,444.85,439.18,443.52,442.72,"21,778,000"
"Jul 16, 2024",454.22,454.3,446.66,449.52,448.71,"17,175,700"
"Jul 15, 2024",453.3,457.26,451.43,453.96,453.14,"14,429,400"
"Jul 12, 2024",454.33,456.36,450.65,453.55,452.73,"16,324,300"
"Jul 11, 2024",462.98,464.78,451.55,454.7,453.88,"23,111,200"
"Jul 10, 2024",461.22,466.46,458.86,466.25,465.41,"18,196,100"
"Jul 09, 2024",467,467.33,458,459.54,458.71,"17,207,200"
"Jul 08, 2024",466.55,467.7,464.46,466.24,465.4,"12,962,300"
"Jul 05, 2024",459.61,468.35,458.97,467.56,466.72,"16,000,300"
"Jul 03, 2024",458.19,461.02,457.88,460.77,459.94,"9,932,800"
"Jul 02, 2024",453.2,459.59,453.11,459.28,458.45,"13,979,800"
"Jul 01, 2024",448.66,457.37,445.66,456.73,455.91,"17,662,800"
"Jun 28, 2024",453.07,455.38,446.41,446.95,446.15,"28,362,300"
"Jun 27, 2024",452.18,456.17,451.77,452.85,452.04,"14,806,300"
"Jun 26, 2024",449,453.6,448.19,452.16,451.35,"16,507,000"
"Jun 25, 2024",448.25,451.42,446.75,450.95,450.14,"16,747,500"
"Jun 24, 2024",449.8,452.75,446.41,447.67,446.86,"15,913,700"
"Jun 21, 2024",447.38,450.58,446.51,449.78,448.97,"34,486,200"
"Jun 20, 2024",446.3,446.53,441.27,445.7,444.9,"19,877,400"
"Jun 18, 2024",449.71,450.14,444.89,446.34,445.54,"17,112,500"
"Jun 17, 2024",442.59,450.94,440.72,448.37,447.56,"20,790,000"
"Jun 14, 2024",438.28,443.14,436.72,442.57,441.77,"13,582,000"
"Jun 13, 2024",440.85,443.39,439.37,441.58,440.79,"15,960,600"
"Jun 12, 2024",435.32,443.4,433.25,441.06,440.27,"22,366,200"
"Jun 11, 2024",425.48,432.82,425.25,432.68,431.9,"14,551,100"
"Jun 10, 2024",424.7,428.08,423.89,427.87,427.1,"14,003,000"
"Jun 07, 2024",426.2,426.28,423,423.85,423.09,"13,621,700"
"Jun 06, 2024",424.01,425.31,420.58,424.52,423.76,"14,861,300"
"Jun 05, 2024",417.81,424.08,416.3,424.01,423.25,"16,988,000"
"Jun 04, 2024",412.43,416.44,409.68,416.07,415.32,"14,348,900"
"Jun 03, 2024",415.53,416.43,408.92,413.52,412.78,"17,484,700"
"May 31, 2024",416.75,416.75,404.51,415.13,414.38,"47,995,300"
"May 30, 2024",424.3,424.3,414.24,414.67,413.92,"28,424,800"
"May 29, 2024",425.69,430.94,425.69,429.17,428.4,"15,517,100"
"May 28, 2024",429.63,430.82,426.6,430.32,429.55,"15,718,000"
"May 24, 2024",427.19,431.06,424.41,430.16,429.39,"11,845,800"
"May 23, 2024",432.97,433.6,425.42,427,426.23,"17,211,700"
"May 22, 2024",430.09,432.41,427.13,430.52,429.75,"18,073,700"
"May 21, 2024",426.83,432.97,424.85,429.04,428.27,"21,453,300"
"May 20, 2024",420.21,426.77,419.99,425.34,424.57,"16,272,100"
"May 17, 2024",422.54,422.92,418.03,420.21,419.45,"15,352,200"
"May 16, 2024",421.8,425.42,420.35,420.99,420.23,"17,530,100"
"May 15, 2024",417.9,423.81,417.27,423.08,422.32,"22,239,500"
"May 15, 2024",0.75 Dividend,,,,,
"May 14, 2024",412.02,417.49,411.55,416.56,415.06,"15,109,300"
"May 13, 2024",418.01,418.35,410.82,413.72,412.23,"15,440,200"
"May 10, 2024",412.94,415.38,411.8,414.74,413.25,"13,402,300"
"May 09, 2024",410.57,412.72,409.1,412.32,410.84,"14,689,700"
"May 08, 2024",408.17,412.23,406.71,410.54,409.06,"11,792,300"
"May 07, 2024",414.66,414.67,409.09,409.34,407.87,"20,018,200"
"May 06, 2024",408.76,413.93,406.37,413.54,412.05,"16,996,600"
"May 03, 2024",402.28,407.15,401.86,406.66,405.2,"17,446,700"
"May 02, 2024",397.66,399.93,394.65,397.84,396.41,"17,709,400"
"May 01, 2024",392.61,401.72,390.31,394.94,393.52,"23,562,500"
"Apr 30, 2024",401.49,402.16,389.17,389.33,387.93,"28,781,400"
"Apr 29, 2024",405.25,406.32,399.19,402.25,400.8,"19,582,100"
"Apr 26, 2024",412.17,413,405.76,406.32,404.86,"29,694,700"
"Apr 25, 2024",394.03,399.89,388.03,399.04,397.6,"40,586,500"
"Apr 24, 2024",409.56,412.47,406.78,409.06,407.59,"15,065,300"
"Apr 23, 2024",404.24,408.2,403.06,407.57,406.1,"15,734,500"
"Apr 22, 2024",400.08,402.85,395.75,400.96,399.52,"20,286,900"
"Apr 19, 2024",404.03,405.48,397.77,399.12,397.68,"30,276,500"
"Apr 18, 2024",410.63,411.89,403.95,404.27,402.82,"21,029,900"
"Apr 17, 2024",417.25,418.88,410.33,411.84,410.36,"15,855,500"
"Apr 16, 2024",414.57,418.4,413.73,414.58,413.09,"16,765,600"
"Apr 15, 2024",426.6,426.82,413.43,413.64,412.15,"20,273,500"
"Apr 12, 2024",424.05,425.18,419.77,421.9,420.38,"19,232,100"
"Apr 11, 2024",425.82,429.37,422.36,427.93,426.39,"17,966,400"
