Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 25, 2024",140.93,144.13,140.8,141.54,141.54,"205,122,100"
"Oct 24, 2024",140.82,141.35,138.46,140.41,140.41,"172,354,900"
"Oct 23, 2024",142.03,142.43,137.46,139.56,139.56,"285,930,000"
"Oct 22, 2024",142.91,144.42,141.78,143.59,143.59,"226,311,600"
"Oct 21, 2024",138.13,143.71,138,143.71,143.71,"264,554,500"
"Oct 18, 2024",138.67,138.9,137.28,138,138,"176,090,200"
"Oct 17, 2024",139.34,140.89,136.87,136.93,136.93,"306,435,900"
"Oct 16, 2024",133.98,136.62,131.58,135.72,135.72,"264,879,700"
"Oct 15, 2024",137.87,138.57,128.74,131.6,131.6,"377,831,000"
"Oct 14, 2024",136.47,139.6,136.3,138.07,138.07,"232,347,700"
"Oct 11, 2024",134.01,135.78,133.66,134.8,134.8,"170,209,500"
"Oct 10, 2024",131.91,135,131,134.81,134.81,"242,311,300"
"Oct 09, 2024",134.11,134.52,131.38,132.65,132.65,"246,191,600"
"Oct 08, 2024",130.26,133.48,129.42,132.89,132.89,"285,722,500"
"Oct 07, 2024",124.99,130.64,124.95,127.72,127.72,"346,250,200"
"Oct 04, 2024",124.94,125.04,121.83,124.92,124.92,"243,678,100"
"Oct 03, 2024",120.92,124.36,120.34,122.85,122.85,"277,118,000"
"Oct 02, 2024",116.44,119.38,115.14,118.85,118.85,"221,845,900"
"Oct 01, 2024",121.77,122.44,115.79,117,117,"302,094,500"
"Sep 30, 2024",118.31,121.5,118.15,121.44,121.44,"226,553,700"
"Sep 27, 2024",123.97,124.03,119.26,121.4,121.4,"271,009,200"
"Sep 26, 2024",126.8,127.67,121.8,124.04,124.04,"302,582,900"
"Sep 25, 2024",122.02,124.94,121.61,123.51,123.51,"284,692,900"
"Sep 24, 2024",116.52,121.8,115.38,120.87,120.87,"354,966,800"
"Sep 23, 2024",116.55,116.99,114.86,116.26,116.26,"206,228,500"
"Sep 20, 2024",117.06,118.62,115.39,116,116,"382,462,400"
"Sep 19, 2024",117.35,119.66,117.25,117.87,117.87,"293,506,400"
"Sep 18, 2024",115.89,117.7,113.22,113.37,113.37,"310,318,900"
