Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 25, 2024",174.78,176.29,173.1,173.52,173.52,"3,674,700"
"Oct 24, 2024",173.32,174.95,172.91,174.38,174.38,"3,488,000"
"Oct 23, 2024",174.5,176.07,173.01,173.1,173.1,"4,830,400"
"Oct 22, 2024",175.45,175.85,174.28,175.31,175.31,"5,510,100"
"Oct 21, 2024",174.45,175.15,173.16,173.76,173.76,"4,198,400"
"Oct 18, 2024",176.8,176.97,174.58,174.69,174.69,"5,001,300"
"Oct 17, 2024",177.5,177.75,175.14,175.68,175.68,"5,474,000"
"Oct 16, 2024",173.5,174.91,171.64,174.77,174.77,"6,383,000"
"Oct 15, 2024",176.94,178.22,173.75,174.09,174.09,"5,848,600"
"Oct 14, 2024",176.55,177.22,175.5,176.12,176.12,"4,688,700"
"Oct 11, 2024",175.5,177,174.4,175.77,175.77,"5,869,400"
"Oct 10, 2024",177.65,178.3,174.18,175.41,175.41,"7,115,900"
"Oct 10, 2024",0.4 Dividend,,,,,
"Oct 09, 2024",174.56,178.61,173.81,178.29,177.89,"8,120,900"
"Oct 08, 2024",170.6,174.64,170.44,174.37,173.98,"7,845,400"
"Oct 07, 2024",170.42,172.33,169.55,169.97,169.59,"6,791,000"
"Oct 04, 2024",168.71,170.9,168.17,170.86,170.48,"6,386,900"
"Oct 03, 2024",166.89,167.86,166.24,166.86,166.49,"4,735,700"
"Oct 02, 2024",167.6,169.18,167.27,167.71,167.33,"7,073,000"
"Oct 01, 2024",170.22,170.51,165.97,167.16,166.78,"7,595,100"
"Sep 30, 2024",169.5,170.52,166.45,170.4,170.02,"10,210,300"
"Sep 27, 2024",168.09,169.11,166.51,168.74,168.36,"8,974,400"
"Sep 26, 2024",167.65,168.36,166.48,168.1,167.72,"7,096,800"
"Sep 25, 2024",167.69,168.75,165.66,166.28,165.91,"7,142,400"
"Sep 24, 2024",165.74,166.1,163.92,165.8,165.43,"6,155,100"
"Sep 23, 2024",167.23,167.33,164.26,165.95,165.58,"7,916,100"
"Sep 20, 2024",167.13,168.83,166.6,168,167.62,"12,187,700"
"Sep 19, 2024",167.25,168.16,164.51,167.59,167.21,"10,075,900"
"Sep 18, 2024",167.62,167.62,163.73,164.53,164.16,"12,274,400"
"Sep 17, 2024",170.28,170.64,166.77,167.47,167.09,"12,580,100"
"Sep 16, 2024",164.99,173.99,164.51,170.33,169.95,"27,384,400"
"Sep 13, 2024",173.7,173.94,161,162.03,161.67,"25,727,800"
"Sep 12, 2024",159.04,162.34,157.9,161.38,161.02,"16,352,000"
"Sep 11, 2024",156.78,159.44,154.84,157.18,156.83,"12,630,100"
"Sep 10, 2024",154.23,160.52,153.12,155.89,155.54,"37,374,200"
"Sep 09, 2024",142.49,143.3,139.51,139.89,139.58,"20,233,400"
"Sep 06, 2024",143.79,143.94,139.4,141.81,141.49,"11,154,800"
"Sep 05, 2024",141.4,143.28,140.31,142.61,142.29,"8,733,200"
"Sep 04, 2024",138.44,141.1,137.95,140.75,140.43,"6,243,300"
"Sep 03, 2024",140.45,142.2,138.83,139.5,139.19,"6,831,200"
"Aug 30, 2024",140.33,141.72,140.1,141.29,140.97,"7,980,700"
"Aug 29, 2024",139.14,141.16,138.85,139.42,139.11,"4,588,400"
"Aug 28, 2024",138.83,138.95,136.91,137.88,137.57,"3,022,600"
"Aug 27, 2024",137.85,139.5,137.74,138.48,138.17,"3,872,200"
"Aug 26, 2024",139.39,139.4,138.19,138.9,138.59,"2,729,600"
"Aug 23, 2024",138.73,139.79,137.26,139.19,138.88,"4,544,600"
"Aug 22, 2024",140.7,141.08,137.65,138.08,137.77,"5,162,200"
"Aug 21, 2024",138.8,140.3,138.55,140.2,139.89,"3,776,800"
"Aug 20, 2024",137.82,139.79,137.82,139.17,138.86,"3,738,300"
"Aug 19, 2024",137.53,137.95,136.46,137.92,137.61,"3,641,600"
"Aug 16, 2024",136.79,137.82,136.39,137.47,137.16,"4,893,800"
"Aug 15, 2024",136.93,137.25,135.72,136.93,136.62,"4,698,100"
"Aug 14, 2024",134.04,135.97,134.01,135.6,135.3,"4,044,600"
"Aug 13, 2024",132.97,134.54,132.81,134.26,133.96,"4,324,000"
"Aug 12, 2024",132.25,132.71,131.21,132.58,132.28,"5,600,800"
"Aug 09, 2024",128.4,132.37,128.34,132.06,131.76,"5,597,300"
"Aug 08, 2024",128,129.82,127.65,128.96,128.67,"6,243,200"
"Aug 07, 2024",128.92,130.3,125.75,125.9,125.62,"8,617,700"
"Aug 06, 2024",130.54,131.04,128.08,128.21,127.92,"8,373,900"
"Aug 05, 2024",127.89,129.97,126.66,127.86,127.57,"10,355,000"
"Aug 02, 2024",132.77,134.3,131.8,133.28,132.98,"8,251,600"
"Aug 01, 2024",139.29,140.39,135.77,137.51,137.2,"5,906,800"
"Jul 31, 2024",139.69,141.55,138.66,139.45,139.14,"7,188,000"
"Jul 30, 2024",139.07,139.57,134.96,135.67,135.37,"6,505,700"
"Jul 29, 2024",139.27,139.78,137.82,138.31,138,"4,054,600"
"Jul 26, 2024",138.87,139.96,138.38,139.01,138.7,"5,139,400"
"Jul 25, 2024",140.15,141.07,137.7,137.82,137.51,"7,654,600"
"Jul 24, 2024",141.7,142.66,138.4,138.77,138.46,"8,018,800"
"Jul 23, 2024",141.3,143.22,141.21,143.11,142.79,"6,697,400"
"Jul 22, 2024",139.74,140.68,139.12,140.17,139.86,"5,387,200"
"Jul 19, 2024",138.35,140.44,138.08,138.56,138.25,"6,111,900"
"Jul 18, 2024",139.36,140.06,137.2,138.03,137.72,"5,998,700"
"Jul 17, 2024",140.48,141.79,138.68,139.26,138.95,"9,157,000"
"Jul 16, 2024",143.07,143.5,142.05,142.61,142.29,"7,181,500"
"Jul 15, 2024",145.73,146.59,141.92,143.07,142.75,"8,687,800"
"Jul 12, 2024",142.71,145.13,141.26,144.77,144.45,"7,361,800"
"Jul 11, 2024",142.36,143.48,141.68,142.76,142.44,"5,245,100"
"Jul 11, 2024",0.4 Dividend,,,,,
"Jul 10, 2024",141.12,142.38,139.74,142.07,141.35,"6,350,300"
"Jul 09, 2024",145.13,145.7,138,140.68,139.97,"14,334,200"
"Jul 08, 2024",144.76,145.23,143.43,145.03,144.3,"8,622,600"
"Jul 05, 2024",144.95,145.79,144.02,144.83,144.1,"5,365,500"
"Jul 03, 2024",143.75,144.65,143.5,144.38,143.65,"3,560,800"
"Jul 02, 2024",142.63,144.22,142.55,143.28,142.56,"5,920,500"
"Jul 01, 2024",141.69,144.06,141.07,143.09,142.37,"6,552,400"
"Jun 28, 2024",139.44,142.82,139.27,141.2,140.49,"25,814,800"
"Jun 27, 2024",139.25,141.42,138.81,140.18,139.47,"7,518,200"
"Jun 26, 2024",139.49,140.75,138.08,138.23,137.53,"8,036,300"
"Jun 25, 2024",139,139.55,137.56,139.17,138.47,"8,469,600"
"Jun 24, 2024",140,141.53,139.12,139.89,139.18,"7,793,300"
"Jun 21, 2024",143.72,143.72,140.44,141.5,140.79,"14,930,900"
"Jun 20, 2024",145.32,145.32,141.95,142.91,142.19,"8,940,000"
"Jun 18, 2024",141.22,145.06,141.22,144.64,143.91,"11,629,400"
"Jun 17, 2024",138.8,141.44,138.25,141.31,140.6,"11,232,800"
"Jun 14, 2024",139.26,139.97,137.38,138.13,137.43,"11,330,800"
"Jun 13, 2024",140.43,142.4,138.77,139.85,139.14,"13,733,200"
"Jun 12, 2024",134.69,140.96,133.96,140.38,139.67,"40,871,300"
"Jun 11, 2024",124.05,124.83,122.29,123.88,123.25,"18,373,900"
"Jun 10, 2024",125.73,126.95,124.05,124.5,123.87,"10,190,400"
"Jun 07, 2024",124.21,126.22,123.27,125.92,125.28,"11,545,000"
"Jun 06, 2024",122.88,124.27,122.25,123.5,122.88,"7,347,200"
"Jun 05, 2024",121.65,122.79,120.51,122.63,122.01,"5,973,700"
"Jun 04, 2024",119.02,120.37,118.72,120.07,119.46,"7,368,000"
"Jun 03, 2024",117.53,119.33,117.34,119.28,118.68,"7,256,300"
"May 31, 2024",116.59,117.42,114.55,117.19,116.6,"12,755,600"
"May 30, 2024",120.17,121.44,117.03,117.09,116.5,"10,851,600"
"May 29, 2024",122.99,123.92,122.77,123.74,123.11,"4,735,100"
"May 28, 2024",123.24,124.82,123.01,124.49,123.86,"6,911,400"
"May 24, 2024",123.42,123.51,121.42,122.91,122.29,"7,166,100"
"May 23, 2024",126.55,126.7,123.16,124.09,123.46,"6,108,600"
"May 22, 2024",124.63,125.16,123.3,124.6,123.97,"5,705,000"
"May 21, 2024",124.46,125.36,123.92,124.63,124,"5,549,500"
"May 20, 2024",123.8,124.68,123.24,124.52,123.89,"5,989,000"
