Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 25, 2024",43.85,45.07,43.65,44.86,44.86,"50,416,500"
"Oct 24, 2024",42.89,43.73,42.66,43.56,43.56,"34,079,600"
"Oct 23, 2024",42.85,43.68,42.06,42.59,42.59,"35,647,000"
"Oct 22, 2024",42.69,43.49,42.3,42.94,42.94,"27,830,700"
"Oct 21, 2024",42.86,43.4,42.41,42.7,42.7,"30,719,800"
"Oct 18, 2024",42.01,42.99,41.65,42.97,42.97,"33,969,000"
"Oct 17, 2024",42.15,42.7,41.61,42,42,"34,028,400"
"Oct 16, 2024",42.4,42.49,40.36,41.93,41.93,"59,157,900"
"Oct 15, 2024",43.47,43.68,41.51,42.43,42.43,"48,297,000"
"Oct 14, 2024",43.72,44.39,43.28,43.4,43.4,"41,010,900"
"Oct 11, 2024",43.4,44.38,42.62,43.51,43.51,"66,206,900"
"Oct 10, 2024",42.92,43.88,42.41,43.52,43.52,"62,516,300"
"Oct 09, 2024",41.55,43.34,41.21,43.13,43.13,"86,404,700"
"Oct 08, 2024",39.29,41.49,39.01,41.45,41.45,"62,542,900"
"Oct 07, 2024",39.9,40.15,38.78,38.89,38.89,"44,124,800"
"Oct 04, 2024",39.65,40.29,39.4,40.01,40.01,"62,532,500"
"Oct 03, 2024",37.45,39.29,37.37,39.24,39.24,"57,196,400"
"Oct 02, 2024",36.3,37.68,36.15,37.49,37.49,"34,988,900"
"Oct 01, 2024",37.21,37.56,36.05,36.46,36.46,"52,858,000"
"Sep 30, 2024",36.58,37.32,36.15,37.2,37.2,"42,110,200"
"Sep 27, 2024",36.91,37.47,36.59,36.84,36.84,"43,219,100"
"Sep 26, 2024",37.26,37.44,36.6,37.1,37.1,"48,602,000"
"Sep 25, 2024",36.89,37.18,36.38,37.12,37.12,"46,511,700"
"Sep 24, 2024",37.97,37.98,36.43,36.9,36.9,"79,519,200"
"Sep 23, 2024",36.86,38.19,36.57,37.95,37.95,"79,460,700"
"Sep 20, 2024",36.01,37.29,35.71,37.2,37.2,"450,290,500"
"Sep 19, 2024",37,37.35,36.2,36.83,36.83,"59,882,000"
"Sep 18, 2024",35.9,37.11,35.87,36.38,36.38,"66,279,800"
"Sep 17, 2024",37,37.05,35.87,36.45,36.45,"64,461,800"
"Sep 16, 2024",35.78,36.92,35.56,36.31,36.31,"74,767,300"
"Sep 13, 2024",34.97,36.01,34.89,35.59,35.59,"49,727,200"
"Sep 12, 2024",34.86,35.4,34.53,34.91,34.91,"54,391,800"
"Sep 11, 2024",34.01,34.87,33.62,34.85,34.85,"68,302,300"
"Sep 10, 2024",34.81,35.2,33.71,34.76,34.76,"91,721,000"
"Sep 09, 2024",32.7,34.7,32.47,34.6,34.6,"140,582,500"
"Sep 06, 2024",30.6,31.04,29.5,30.33,30.33,"50,946,800"
"Sep 05, 2024",30.24,30.74,30.01,30.16,30.16,"24,012,300"
"Sep 04, 2024",30,30.85,29.31,30.59,30.59,"33,419,500"
"Sep 03, 2024",31.35,31.59,30.17,30.51,30.51,"34,531,600"
"Aug 30, 2024",31.05,31.5,30.7,31.48,31.48,"42,388,000"
"Aug 29, 2024",30.65,31.82,30.48,31,31,"39,733,000"
"Aug 28, 2024",30.62,30.8,29.75,30.36,30.36,"33,961,400"
"Aug 27, 2024",30.55,31.12,30.38,30.84,30.84,"23,541,300"
"Aug 26, 2024",31.43,31.74,30.79,30.85,30.85,"35,283,600"
"Aug 23, 2024",31.99,32.55,31.62,31.78,31.78,"34,121,200"
"Aug 22, 2024",32.55,33.13,31.85,31.92,31.92,"43,522,200"
"Aug 21, 2024",32.32,32.67,31.97,32.54,32.54,"38,147,600"
"Aug 20, 2024",32.5,32.72,31.63,32.32,32.32,"40,783,000"
"Aug 19, 2024",32.42,32.59,31.81,32.5,32.5,"52,353,600"
"Aug 16, 2024",31.04,32.75,30.98,32.08,32.08,"64,870,600"
"Aug 15, 2024",31.31,31.5,30.83,31.22,31.22,"43,407,600"
"Aug 14, 2024",30.62,31.37,30.33,31,31,"49,885,600"
"Aug 13, 2024",29.79,30.85,29.56,30.39,30.39,"57,294,200"
"Aug 12, 2024",30.22,31.2,29.27,29.38,29.38,"67,890,300"
"Aug 09, 2024",29.28,30.36,29.1,30.01,30.01,"88,131,100"
"Aug 08, 2024",27.04,29.38,26.69,29.28,29.28,"96,892,900"
"Aug 07, 2024",27.07,28.36,26.24,26.32,26.32,"75,975,400"
"Aug 06, 2024",27.05,27.42,25.57,26.59,26.59,"99,622,700"
"Aug 05, 2024",21.74,24.42,21.23,24.09,24.09,"88,023,500"
"Aug 02, 2024",24.75,24.87,23.75,24.74,24.74,"56,092,600"
"Aug 01, 2024",27.02,27.53,25.83,26.08,26.08,"31,189,600"
"Jul 31, 2024",27.02,27.39,26.88,26.89,26.89,"29,111,600"
"Jul 30, 2024",27.25,27.44,25.89,26.37,26.37,"31,819,900"
"Jul 29, 2024",27.56,27.8,26.73,27.08,27.08,"26,038,800"
"Jul 26, 2024",27,27.34,26.77,27.18,27.18,"27,432,200"
"Jul 25, 2024",26.04,27.29,25.42,26.63,26.63,"45,474,600"
"Jul 24, 2024",28.44,28.68,26.58,26.6,26.6,"49,004,100"
"Jul 23, 2024",28.34,29.19,28.31,28.81,28.81,"31,134,300"
"Jul 22, 2024",28.93,28.97,27.69,28.46,28.46,"38,037,800"
"Jul 19, 2024",28.31,29.6,28.27,28.58,28.58,"49,581,600"
"Jul 18, 2024",28.42,29.83,28.15,28.64,28.64,"76,485,600"
"Jul 17, 2024",28,28.87,27.6,28.22,28.22,"45,203,500"
"Jul 16, 2024",28.18,28.84,27.47,28.67,28.67,"59,330,700"
"Jul 15, 2024",28.42,29.3,27.9,28.67,28.67,"49,186,300"
"Jul 12, 2024",27.32,28.13,27.28,28.07,28.07,"30,760,300"
"Jul 11, 2024",28.49,28.59,26.9,27.64,27.64,"61,546,100"
"Jul 10, 2024",27.5,28.47,27.37,28.42,28.42,"43,231,000"
"Jul 09, 2024",27.93,28.38,27.23,27.39,27.39,"53,067,100"
"Jul 08, 2024",27.93,27.99,26.84,27.7,27.7,"59,611,200"
"Jul 05, 2024",26,27.25,25.98,27.23,27.23,"46,703,700"
"Jul 03, 2024",25.96,26.27,25.76,25.85,25.85,"18,433,800"
"Jul 02, 2024",25.84,26.43,25.75,25.83,25.83,"32,148,200"
"Jul 01, 2024",25.48,26.02,25.14,25.88,25.88,"33,167,900"
"Jun 28, 2024",25.28,25.57,25.03,25.33,25.33,"38,886,400"
"Jun 27, 2024",24.1,25.4,24.05,25.22,25.22,"37,882,900"
"Jun 26, 2024",24.47,24.66,24.02,24.1,24.1,"24,331,400"
"Jun 25, 2024",24.16,24.63,23.92,24.56,24.56,"29,657,200"
"Jun 24, 2024",23.44,24.39,23.3,24.16,24.16,"36,477,400"
"Jun 21, 2024",24.71,26.09,23.53,23.84,23.84,"69,981,600"
"Jun 20, 2024",26.44,26.57,25.16,25.56,25.56,"66,735,000"
"Jun 18, 2024",25.15,26.02,24.83,25.82,25.82,"54,458,600"
"Jun 17, 2024",23.47,25.06,23.45,25.02,25.02,"54,101,500"
