Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 25, 2024",179.94,180.15,177.97,178.11,178.11,"4,555,200"
"Oct 24, 2024",179.47,179.67,178.53,178.96,178.96,"4,361,800"
"Oct 23, 2024",178.99,179.49,177.93,178.92,178.92,"4,665,700"
"Oct 22, 2024",179.6,179.8,178.73,179.51,179.51,"3,730,700"
"Oct 21, 2024",181.59,181.85,179.93,180.32,180.32,"3,998,700"
"Oct 18, 2024",181.86,182.01,180.91,181.87,181.87,"3,275,700"
"Oct 17, 2024",182.12,182.15,181.13,181.33,181.33,"3,595,400"
"Oct 16, 2024",180.85,181.87,180.71,181.62,181.62,"4,840,200"
"Oct 15, 2024",181.26,182.22,180.29,180.4,180.4,"5,152,200"
"Oct 14, 2024",180.01,181.34,179.59,181.22,181.22,"3,222,600"
"Oct 11, 2024",178.48,180.14,178.39,179.9,179.9,"4,033,900"
"Oct 10, 2024",178.47,178.67,177.75,178.15,178.15,"3,171,900"
"Oct 09, 2024",177.64,179.05,177.33,178.82,178.82,"3,925,200"
"Oct 08, 2024",177.37,177.8,176.74,177.6,177.6,"3,845,700"
"Oct 07, 2024",178.02,178.02,176.42,177.18,177.18,"4,207,300"
"Oct 04, 2024",178.67,178.68,177.31,178.57,178.57,"5,400,400"
"Oct 03, 2024",177.45,177.69,176.57,177.18,177.18,"5,361,900"
"Oct 02, 2024",177.73,178.45,177.22,178.02,178.02,"4,117,100"
"Oct 01, 2024",178.95,179.17,177.27,178.21,178.21,"8,274,200"
"Sep 30, 2024",178.77,179.35,177.6,179.16,179.16,"5,068,500"
"Sep 27, 2024",179.02,179.94,178.65,178.93,178.93,"5,693,800"
"Sep 26, 2024",178.11,178.81,177.75,178.29,178.29,"6,061,500"
"Sep 25, 2024",178.1,178.26,176.54,176.81,176.81,"4,614,900"
"Sep 24, 2024",178.04,178.23,177.54,177.91,177.91,"6,316,200"
"Sep 23, 2024",177.25,177.72,176.91,177.65,177.65,"5,866,400"
"Sep 23, 2024",0.695 Dividend,,,,,
"Sep 20, 2024",177.58,177.58,176.61,177.44,176.75,"5,392,000"
"Sep 19, 2024",178.55,178.83,177.38,178.09,177.39,"7,678,100"
"Sep 18, 2024",176.89,178.4,175.95,176.21,175.52,"9,390,000"
"Sep 17, 2024",176.68,177.6,176.04,176.54,175.85,"5,489,300"
"Sep 16, 2024",175.63,176.59,175.38,176.28,175.59,"4,845,200"
"Sep 13, 2024",174.01,175.34,173.89,175.01,174.32,"5,248,100"
"Sep 12, 2024",172.31,173.46,171.45,173.35,172.67,"5,460,300"
"Sep 11, 2024",171.6,172.49,168.79,172.28,171.61,"7,108,100"
"Sep 10, 2024",172.46,172.61,170.92,172.2,171.53,"4,356,800"
"Sep 09, 2024",171.51,172.97,171.2,172.1,171.43,"6,402,300"
"Sep 06, 2024",172.52,173.33,170.22,170.45,169.78,"9,197,200"
"Sep 05, 2024",173.61,173.74,171.61,172.3,171.63,"6,015,500"
"Sep 04, 2024",173.44,174.4,172.86,173.36,172.68,"10,109,400"
"Sep 03, 2024",175,175.4,172.91,173.61,172.93,"6,616,300"
"Aug 30, 2024",175.08,175.96,173.92,175.87,175.18,"4,635,800"
"Aug 29, 2024",174.5,175.58,173.5,174.52,173.84,"5,095,000"
"Aug 28, 2024",174.1,174.62,173.05,173.87,173.19,"3,964,500"
"Aug 27, 2024",173.91,174.41,173.7,174.35,173.67,"3,560,300"
"Aug 26, 2024",174.97,175.39,174.07,174.27,173.59,"7,487,600"
"Aug 23, 2024",173,174.52,172.66,174.3,173.62,"6,000,300"
"Aug 22, 2024",173,173.21,171.8,172.11,171.44,"3,817,200"
"Aug 21, 2024",172.09,172.76,171.66,172.6,171.92,"4,594,900"
"Aug 20, 2024",171.91,172.19,171.17,171.4,170.73,"5,054,900"
"Aug 19, 2024",170.93,172.12,170.91,172.08,171.41,"5,580,000"
"Aug 16, 2024",170,170.92,170,170.78,170.11,"3,454,700"
"Aug 15, 2024",169.77,170.64,169.33,170.37,169.7,"6,926,700"
"Aug 14, 2024",168.02,168.56,167.6,168.09,167.43,"4,156,200"
"Aug 13, 2024",166.65,167.96,166.11,167.74,167.08,"4,208,300"
"Aug 12, 2024",166.7,166.88,165.52,165.85,165.2,"5,633,600"
"Aug 09, 2024",166.44,167.13,165.16,166.65,166,"3,650,000"
"Aug 08, 2024",164.15,166.45,163.88,166.3,165.65,"6,628,600"
"Aug 07, 2024",166.08,166.98,163.24,163.34,162.7,"5,938,500"
"Aug 06, 2024",163.34,166.55,163.01,164.5,163.86,"8,774,600"
"Aug 05, 2024",163.42,164.59,161.8,162.83,162.19,"13,747,600"
"Aug 02, 2024",168.23,168.41,165.1,166.77,166.12,"11,666,300"
"Aug 01, 2024",171.9,172.71,168.78,169.69,169.03,"10,567,900"
"Jul 31, 2024",172.01,173.08,171.09,171.6,170.93,"9,957,500"
"Jul 30, 2024",170.64,171.31,169.94,170.79,170.12,"7,333,100"
"Jul 29, 2024",170.14,170.39,169.17,169.97,169.3,"5,737,800"
"Jul 26, 2024",168.62,170.28,168.35,169.74,169.08,"7,472,300"
"Jul 25, 2024",167.2,169.68,166.85,167.35,166.69,"10,680,400"
"Jul 24, 2024",168.81,169.23,166.98,167.15,166.5,"8,067,000"
"Jul 23, 2024",169.42,169.84,169.02,169.13,168.47,"5,344,300"
"Jul 22, 2024",169.09,169.8,167.77,169.73,169.07,"8,973,100"
"Jul 19, 2024",169.66,169.88,168.01,168.4,167.74,"5,683,900"
"Jul 18, 2024",170.85,172.38,169.16,169.54,168.88,"8,887,600"
"Jul 17, 2024",170.81,172.19,170.66,171.01,170.34,"12,609,800"
"Jul 16, 2024",169.2,171.71,169.05,171.71,171.04,"9,921,100"
"Jul 15, 2024",168.75,169.61,168.32,168.72,168.06,"5,139,500"
"Jul 12, 2024",167.82,169.36,167.73,168.53,167.87,"11,488,500"
"Jul 11, 2024",165.88,167.38,165.81,167.06,166.41,"10,924,400"
"Jul 10, 2024",164.06,165.21,163.75,165.07,164.42,"5,327,600"
"Jul 09, 2024",163.89,164.58,163.36,163.72,163.08,"4,267,800"
"Jul 08, 2024",163.92,164.6,163.49,164,163.36,"4,654,500"
"Jul 05, 2024",163.66,163.84,162.73,163.68,163.04,"3,950,800"
"Jul 03, 2024",164.02,164.44,163.6,163.75,163.11,"2,745,100"
"Jul 02, 2024",162.9,163.69,162.85,163.68,163.04,"3,692,900"
"Jul 01, 2024",164.8,164.96,162.74,162.95,162.31,"6,813,100"
"Jun 28, 2024",164.53,165.21,163.54,164.28,163.64,"4,761,000"
"Jun 27, 2024",163.96,164.2,163.51,164.16,163.52,"3,430,700"
"Jun 26, 2024",164.01,164.13,163.41,163.96,163.32,"3,995,900"
"Jun 25, 2024",165.81,165.81,164.05,164.58,163.94,"4,369,600"
"Jun 24, 2024",165.29,166.57,164.86,165.72,165.07,"7,588,700"
"Jun 24, 2024",0.663 Dividend,,,,,
"Jun 21, 2024",165.5,165.7,164.62,165.59,164.28,"4,112,600"
"Jun 20, 2024",165.24,165.69,165,165.38,164.07,"5,806,800"
"Jun 18, 2024",164.67,165.67,164.67,165.28,163.97,"6,283,800"
"Jun 17, 2024",163.32,165.02,163.01,164.87,163.57,"4,265,800"
"Jun 14, 2024",163.8,164.12,162.69,163.68,162.39,"4,557,100"
"Jun 13, 2024",164.9,165,163.74,164.73,163.43,"7,385,200"
"Jun 12, 2024",166.17,166.39,164.79,165.2,163.89,"8,818,900"
"Jun 11, 2024",164.25,164.56,163.32,164.32,163.02,"4,772,800"
"Jun 10, 2024",163.99,165.11,163.76,165,163.7,"5,769,700"
"Jun 07, 2024",164.35,165.5,164.05,164.56,163.26,"2,865,700"
"Jun 06, 2024",165.17,165.75,164.7,165.08,163.78,"6,251,200"
"Jun 05, 2024",164.77,165.45,163.83,165.4,164.09,"5,788,700"
"Jun 04, 2024",164.13,164.85,163.73,164.4,163.1,"5,446,500"
"Jun 03, 2024",166.1,166.12,163.6,164.9,163.6,"6,125,400"
"May 31, 2024",163.94,165.83,163.32,165.78,164.47,"4,335,200"
"May 30, 2024",162.93,163.78,162.68,163.61,162.32,"5,336,100"
"May 29, 2024",163.47,163.47,162.78,162.86,161.57,"6,843,200"
"May 28, 2024",165.96,166.02,164.31,164.79,163.49,"4,160,000"
"May 24, 2024",165.55,166.23,165.4,165.94,164.63,"3,252,000"
"May 23, 2024",167.49,167.5,164.71,164.85,163.55,"5,841,400"
"May 22, 2024",167.36,167.92,166.75,167.19,165.87,"2,841,500"
"May 21, 2024",167.77,167.9,167.33,167.83,166.5,"3,751,200"
"May 20, 2024",168.19,168.47,167.65,167.9,166.57,"3,756,300"
"May 17, 2024",167.85,168.13,167.55,168.04,166.71,"3,461,400"
"May 16, 2024",168.17,168.39,167.77,167.79,166.46,"4,779,400"
"May 15, 2024",167.71,168.2,167.41,168.06,166.73,"5,739,400"
"May 14, 2024",166.6,167.1,166.05,166.73,165.41,"5,446,900"
"May 13, 2024",166.66,167.15,165.94,166.07,164.76,"2,514,400"
"May 10, 2024",166.4,166.55,165.85,166.11,164.8,"3,425,000"
"May 09, 2024",164.42,165.88,164.34,165.84,164.53,"3,413,000"
"May 08, 2024",163.94,164.59,163.79,164.46,163.16,"3,346,100"
"May 07, 2024",164.5,164.99,164.36,164.5,163.2,"4,511,200"
"May 06, 2024",163.65,164.05,163.27,164.04,162.74,"4,928,700"
"May 03, 2024",162.97,163.53,162.13,162.79,161.5,"9,751,400"
"May 02, 2024",161.65,162.04,160.09,161.64,160.36,"5,677,900"
"May 01, 2024",160.75,162.81,160.18,160.65,159.38,"9,285,200"
"Apr 30, 2024",162.85,162.95,161.17,161.2,159.93,"4,935,800"
"Apr 29, 2024",162.89,163.69,162.82,163.56,162.27,"3,882,800"
"Apr 26, 2024",162,162.99,161.81,162.43,161.15,"5,649,500"
"Apr 25, 2024",161.96,162.6,160.56,162.35,161.07,"7,408,300"
"Apr 24, 2024",162.2,162.85,161.78,162.69,161.4,"4,164,000"
"Apr 23, 2024",161.34,162.82,161.21,162.46,161.18,"3,998,000"
"Apr 22, 2024",160.51,161.85,159.62,161.03,159.76,"4,775,500"
"Apr 19, 2024",159.52,160.34,159.31,159.81,158.55,"8,796,500"
"Apr 18, 2024",159.95,160.48,158.83,159.21,157.95,"6,683,000"
"Apr 17, 2024",160.47,160.6,158.87,159.36,158.1,"8,056,700"
"Apr 16, 2024",160.41,160.54,159.2,159.69,158.43,"7,389,600"
"Apr 15, 2024",163.65,163.8,160.03,160.58,159.31,"9,546,700"
"Apr 12, 2024",163.55,163.93,161.53,161.98,160.7,"6,562,200"
"Apr 11, 2024",165.01,165.26,163.54,164.59,163.29,"6,831,200"
"Apr 10, 2024",165.2,165.79,164.11,164.71,163.41,"7,550,600"
"Apr 09, 2024",167.46,167.77,166.05,167.56,166.24,"5,483,600"
"Apr 08, 2024",166.63,167.42,166.51,166.9,165.58,"22,497,300"
"Apr 05, 2024",165.59,166.83,165.2,166.39,165.07,"5,696,700"
"Apr 04, 2024",168.39,168.57,165.01,165.4,164.09,"7,150,800"
