Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 25, 2024",69.34,69.74,68.38,68.52,68.52,"839,200"
"Oct 24, 2024",67.86,69.18,67.73,68.36,68.36,"1,350,200"
"Oct 23, 2024",66.05,68.27,66.05,67.2,67.2,"1,513,700"
"Oct 22, 2024",66.36,66.55,64.84,64.84,64.84,"1,145,700"
"Oct 21, 2024",70.88,70.91,67.48,67.64,67.64,"786,000"
"Oct 18, 2024",70.31,71.42,70.03,70.97,70.97,"565,000"
"Oct 17, 2024",70.71,70.75,69.55,69.95,69.95,"592,500"
"Oct 16, 2024",70.01,71.21,69.79,70.87,70.87,"473,700"
"Oct 15, 2024",68.71,70.23,68.71,69,69,"536,800"
"Oct 14, 2024",67.33,68.87,67.33,68.48,68.48,"493,900"
"Oct 11, 2024",66.97,67.94,66.9,67.4,67.4,"317,800"
"Oct 10, 2024",66.49,67.23,66.23,66.9,66.9,"534,700"
"Oct 09, 2024",67.89,68.38,67.52,67.67,67.67,"619,600"
"Oct 08, 2024",67.63,68.68,66.77,67.88,67.88,"433,500"
"Oct 07, 2024",66.95,67.51,66.16,67.47,67.47,"556,700"
"Oct 04, 2024",69.6,69.6,67,67.76,67.76,"607,300"
"Oct 03, 2024",68.87,69.65,68.28,69.09,69.09,"508,300"
"Oct 02, 2024",69.47,69.95,68.62,69.23,69.23,"407,400"
"Oct 01, 2024",70.47,70.75,69.13,70.34,70.34,"455,000"
"Sep 30, 2024",69.52,70.46,69.14,70.26,70.26,"797,700"
"Sep 27, 2024",69.72,71.07,69.02,70.27,70.27,"946,400"
"Sep 26, 2024",68.69,69.15,68.22,68.87,68.87,"916,600"
"Sep 25, 2024",68.69,69.29,67.81,68.04,68.04,"791,300"
"Sep 24, 2024",70.16,70.51,68.86,69.6,69.6,"729,800"
"Sep 23, 2024",70.66,71.31,69.57,70.19,70.19,"697,200"
"Sep 20, 2024",70.42,71.49,69.73,69.87,69.87,"3,133,500"
"Sep 19, 2024",71.57,71.95,70.36,71.86,71.86,"1,166,700"
"Sep 18, 2024",69.71,71.69,68.86,69.7,69.7,"1,332,700"
"Sep 17, 2024",69.76,69.88,68.35,69.74,69.74,"847,900"
"Sep 16, 2024",69.11,69.77,67.72,68.8,68.8,"576,800"
"Sep 13, 2024",67.33,68.9,66.77,68.66,68.66,"736,000"
"Sep 12, 2024",63.98,66.09,63.95,65.3,65.3,"1,027,800"
"Sep 11, 2024",63.55,64.09,62.16,63.63,63.63,"1,181,500"
"Sep 10, 2024",64.49,64.65,63.25,64.33,64.33,"630,700"
