Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 25, 2024",534.65,537.26,531.41,532.26,532.26,"4,327,200"
"Oct 24, 2024",533.17,533.18,530.04,532.47,532.47,"4,477,800"
"Oct 23, 2024",534.28,534.72,528.02,531.27,531.27,"5,227,800"
"Oct 22, 2024",534.11,537.28,533.47,536.16,536.16,"3,366,600"
"Oct 21, 2024",536.72,537.61,533.71,536.53,536.53,"3,671,400"
"Oct 18, 2024",536.9,538.1,535.56,537.36,537.36,"5,070,400"
"Oct 17, 2024",538.62,538.76,535.15,535.3,535.3,"3,225,300"
"Oct 16, 2024",532.93,535.73,532.22,535.22,535.22,"3,237,200"
"Oct 15, 2024",537.38,537.61,531.82,532.98,532.98,"4,811,300"
"Oct 14, 2024",534.25,537.98,533.97,537.07,537.07,"2,638,900"
"Oct 11, 2024",529.5,533.43,529.39,532.71,532.71,"5,429,200"
"Oct 10, 2024",529.27,530.9,528.09,529.56,529.56,"3,637,600"
"Oct 09, 2024",526.87,531.03,526.31,530.45,530.45,"2,941,800"
"Oct 08, 2024",524.32,527.38,523.5,526.85,526.85,"2,626,700"
"Oct 07, 2024",525.14,525.72,520.81,521.91,521.91,"3,970,500"
"Oct 04, 2024",526.16,527.02,522.3,526.65,526.65,"5,354,400"
"Oct 03, 2024",521.56,523.76,519.82,521.84,521.84,"4,008,000"
"Oct 02, 2024",521.85,523.85,519.58,522.83,522.83,"3,270,600"
"Oct 01, 2024",527.04,527.1,520.23,522.74,522.74,"9,198,700"
"Sep 30, 2024",524.32,527.96,522.19,527.67,527.67,"8,013,000"
"Sep 27, 2024",527.09,527.77,524.32,525.38,525.38,"5,598,600"
"Sep 27, 2024",1.639 Dividend,,,,,
"Sep 26, 2024",529.67,529.92,525.49,527.7,526.06,"5,273,900"
"Sep 25, 2024",526.61,527.3,524.65,525.61,523.98,"35,418,000"
"Sep 24, 2024",526.01,526.84,523.38,526.68,525.04,"4,650,600"
"Sep 23, 2024",525,525.83,523.83,525.17,523.54,"29,289,200"
"Sep 20, 2024",523.51,524.92,521.12,523.88,522.25,"5,612,700"
"Sep 19, 2024",524.88,526.6,522.19,524.91,523.28,"5,558,400"
"Sep 18, 2024",518.18,522.73,515.47,515.91,514.31,"6,921,300"
"Sep 17, 2024",519.44,520.74,515.5,517.59,515.98,"8,150,000"
"Sep 16, 2024",516.34,517.59,514.65,517.35,515.74,"4,256,300"
"Sep 13, 2024",514.43,517.53,514.23,516.57,514.97,"4,416,600"
"Sep 12, 2024",510.09,514.14,508.06,513.84,512.24,"4,099,500"
"Sep 11, 2024",504.31,510.44,496.25,509.46,507.88,"5,956,900"
"Sep 10, 2024",503.95,504.71,499.5,504.3,502.73,"2,975,400"
"Sep 09, 2024",500.6,503.37,498.75,502.23,500.67,"3,656,800"
"Sep 06, 2024",505.34,506.94,495.8,496.64,495.1,"7,411,400"
"Sep 05, 2024",506.36,508.94,502.84,505.05,503.48,"3,425,600"
"Sep 04, 2024",505.68,509.53,505.02,506.3,504.73,"3,601,400"
"Sep 03, 2024",515.12,515.43,505.1,507.56,505.98,"5,866,400"
"Aug 30, 2024",515.42,518.58,512.12,518.04,516.43,"5,637,700"
"Aug 29, 2024",514.99,518.09,512.13,513.21,511.62,"3,487,100"
"Aug 28, 2024",515.8,516.23,510.16,513.13,511.54,"3,940,400"
"Aug 27, 2024",514.26,516.59,513.16,516.08,514.48,"3,031,800"
"Aug 26, 2024",517.64,518.29,513.88,515.39,513.79,"3,398,600"
"Aug 23, 2024",514.33,517.55,512.25,516.66,515.06,"5,102,800"
"Aug 22, 2024",517.05,517.63,510.1,511.13,509.54,"3,677,100"
"Aug 21, 2024",514.47,516.66,512.85,515.3,513.7,"3,344,100"
"Aug 20, 2024",513.92,515.48,512.25,513.5,511.91,"3,156,000"
"Aug 19, 2024",509.86,514.35,509.06,514.35,512.75,"3,804,300"
"Aug 16, 2024",506.84,510.11,506.65,509.45,507.87,"3,449,300"
"Aug 15, 2024",505.09,508.59,504.49,508.38,506.8,"4,279,000"
"Aug 14, 2024",498.92,500.85,496.48,499.8,498.25,"3,700,500"
"Aug 13, 2024",493.14,498.38,492.92,498.21,496.66,"3,247,900"
"Aug 12, 2024",490.94,492.35,487.98,490.07,488.55,"3,578,100"
"Aug 09, 2024",486.93,491.21,485.82,489.82,488.3,"7,661,300"
"Aug 08, 2024",481.49,488.27,479.64,487.73,486.22,"4,177,200"
"Aug 07, 2024",485.7,488.55,476.11,476.61,475.13,"5,976,400"
"Aug 06, 2024",477.39,486.86,475.94,479.94,478.45,"8,255,000"
"Aug 05, 2024",470.17,481.18,468.89,475.2,473.72,"15,244,300"
"Aug 02, 2024",492.41,493.52,485.8,489.91,488.39,"8,561,200"
"Aug 01, 2024",507.84,509.9,495.75,499.03,497.48,"6,939,200"
"Jul 31, 2024",504.48,508.65,503.31,505.93,504.36,"5,367,600"
"Jul 30, 2024",502.05,503.01,494.92,498.08,496.53,"3,817,800"
"Jul 29, 2024",501.82,502.77,498.77,500.7,499.14,"3,096,200"
"Jul 26, 2024",498.36,502.89,497.67,500.33,498.78,"3,636,000"
"Jul 25, 2024",497.55,503.14,493.92,494.78,493.24,"5,646,600"
"Jul 24, 2024",504.43,504.7,496.55,497.29,495.75,"6,157,400"
"Jul 23, 2024",509.66,511.65,508.49,508.94,507.36,"3,116,000"
"Jul 22, 2024",508.27,510.32,506.44,509.79,508.21,"4,342,900"
"Jul 19, 2024",507.64,509.2,503.56,504.55,502.98,"4,039,400"
"Jul 18, 2024",513.25,514.19,505.87,507.94,506.36,"5,055,900"
"Jul 17, 2024",513.56,515.11,511.56,511.79,510.2,"4,984,300"
"Jul 16, 2024",517.33,519.4,516.6,519.04,517.43,"4,164,300"
"Jul 15, 2024",516.58,519.12,514.34,516.11,514.51,"7,771,500"
